accession	level_1	level_2	level_3	level_4	level_5	level_6
O14732	Enzyme	Not available	NULL	NULL	NULL	NULL
P39051	Enzyme	Not available	NULL	NULL	NULL	NULL
P38631	Enzyme	Not available	NULL	NULL	NULL	NULL
P32476	Enzyme	Not available	NULL	NULL	NULL	NULL
P69996	Enzyme	Not available	NULL	NULL	NULL	NULL
Q7LG56	Enzyme	Not available	NULL	NULL	NULL	NULL
Q92206	Enzyme	Not available	NULL	NULL	NULL	NULL
P15121	Enzyme	Not available	NULL	NULL	NULL	NULL
O13423	Enzyme	Not available	NULL	NULL	NULL	NULL
P31350	Enzyme	Not available	NULL	NULL	NULL	NULL
P07862	Enzyme	Not available	NULL	NULL	NULL	NULL
P14060	Enzyme	Not available	NULL	NULL	NULL	NULL
P13196	Enzyme	Not available	NULL	NULL	NULL	NULL
P30572	Enzyme	Not available	NULL	NULL	NULL	NULL
P0C002	Enzyme	Not available	NULL	NULL	NULL	NULL
P24024	Enzyme	Not available	NULL	NULL	NULL	NULL
P9WGY9	Enzyme	Not available	NULL	NULL	NULL	NULL
O13383	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9P8N8	Enzyme	Not available	NULL	NULL	NULL	NULL
P0A7Y8	Enzyme	Not available	NULL	NULL	NULL	NULL
P32462	Enzyme	Not available	NULL	NULL	NULL	NULL
Q92813	Enzyme	Not available	NULL	NULL	NULL	NULL
P38791	Enzyme	Not available	NULL	NULL	NULL	NULL
Q06520	Enzyme	Not available	NULL	NULL	NULL	NULL
P09488	Enzyme	Not available	NULL	NULL	NULL	NULL
P14174	Enzyme	Not available	NULL	NULL	NULL	NULL
P08559	Enzyme	Not available	NULL	NULL	NULL	NULL
P23284	Enzyme	Not available	NULL	NULL	NULL	NULL
Q5R387	Enzyme	Not available	NULL	NULL	NULL	NULL
Q03013	Enzyme	Not available	NULL	NULL	NULL	NULL
P19858	Enzyme	Not available	NULL	NULL	NULL	NULL
Q6QHF9	Enzyme	Not available	NULL	NULL	NULL	NULL
P04075	Enzyme	Not available	NULL	NULL	NULL	NULL
P56389	Enzyme	Not available	NULL	NULL	NULL	NULL
P19801	Enzyme	Not available	NULL	NULL	NULL	NULL
P11150	Enzyme	Not available	NULL	NULL	NULL	NULL
O95050	Enzyme	Not available	NULL	NULL	NULL	NULL
P43165	Enzyme	Not available	NULL	NULL	NULL	NULL
P48775	Enzyme	Not available	NULL	NULL	NULL	NULL
P30711	Enzyme	Not available	NULL	NULL	NULL	NULL
P0CG29	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9H1D9	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9Y2Y1	Enzyme	Not available	NULL	NULL	NULL	NULL
P00387	Enzyme	Not available	NULL	NULL	NULL	NULL
P18761	Enzyme	Not available	NULL	NULL	NULL	NULL
Q61239	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9NZK7	Enzyme	Not available	NULL	NULL	NULL	NULL
P52961	Enzyme	Not available	NULL	NULL	NULL	NULL
P15531	Enzyme	Not available	NULL	NULL	NULL	NULL
P22392	Enzyme	Not available	NULL	NULL	NULL	NULL
Q7RTV2	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9HCU8	Enzyme	Not available	NULL	NULL	NULL	NULL
Q925U2	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9CPU0	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8VDP6	Enzyme	Not available	NULL	NULL	NULL	NULL
P04062	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9D6N1	Enzyme	Not available	NULL	NULL	NULL	NULL
P17425	Enzyme	Not available	NULL	NULL	NULL	NULL
P50135	Enzyme	Not available	NULL	NULL	NULL	NULL
P17858	Enzyme	Not available	NULL	NULL	NULL	NULL
P15289	Enzyme	Not available	NULL	NULL	NULL	NULL
P11245	Enzyme	Not available	NULL	NULL	NULL	NULL
P13444	Enzyme	Not available	NULL	NULL	NULL	NULL
P52623	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8QZT1	Enzyme	Not available	NULL	NULL	NULL	NULL
Q64686	Enzyme	Not available	NULL	NULL	NULL	NULL
Q64444	Enzyme	Not available	NULL	NULL	NULL	NULL
O95237	Enzyme	Not available	NULL	NULL	NULL	NULL
P04905	Enzyme	Not available	NULL	NULL	NULL	NULL
P23492	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9ERQ8	Enzyme	Not available	NULL	NULL	NULL	NULL
Q91WG0	Enzyme	Not available	NULL	NULL	NULL	NULL
P54818	Enzyme	Not available	NULL	NULL	NULL	NULL
P00480	Enzyme	Not available	NULL	NULL	NULL	NULL
P56597	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9Y5B8	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8CGR7	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8NCG5	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9BWD1	Enzyme	Not available	NULL	NULL	NULL	NULL
P09210	Enzyme	Not available	NULL	NULL	NULL	NULL
P21266	Enzyme	Not available	NULL	NULL	NULL	NULL
O00519	Enzyme	Not available	NULL	NULL	NULL	NULL
P19217	Enzyme	Not available	NULL	NULL	NULL	NULL
P14550	Enzyme	Not available	NULL	NULL	NULL	NULL
P28300	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9BTU6	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9P0Z9	Enzyme	Not available	NULL	NULL	NULL	NULL
Q86WU2	Enzyme	Not available	NULL	NULL	NULL	NULL
O70252	Enzyme	Not available	NULL	NULL	NULL	NULL
P28494	Enzyme	Not available	NULL	NULL	NULL	NULL
Q15054	Enzyme	Not available	NULL	NULL	NULL	NULL
Q16775	Enzyme	Not available	NULL	NULL	NULL	NULL
O35952	Enzyme	Not available	NULL	NULL	NULL	NULL
P00636	Enzyme	Not available	NULL	NULL	NULL	NULL
P23141	Enzyme	Not available	NULL	NULL	NULL	NULL
P80147	Enzyme	Not available	NULL	NULL	NULL	NULL
Q64563	Enzyme	Not available	NULL	NULL	NULL	NULL
P13929	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9BTY2	Enzyme	Not available	NULL	NULL	NULL	NULL
Q00796	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9CWJ9	Enzyme	Not available	NULL	NULL	NULL	NULL
P17439	Enzyme	Not available	NULL	NULL	NULL	NULL
P70470	Enzyme	Not available	NULL	NULL	NULL	NULL
P35575	Enzyme	Not available	NULL	NULL	NULL	NULL
Q86XP0	Enzyme	Not available	NULL	NULL	NULL	NULL
Q13526	Enzyme	Not available	NULL	NULL	NULL	NULL
P13697	Enzyme	Not available	NULL	NULL	NULL	NULL
Q6IMK6	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8BUY9	Enzyme	Not available	NULL	NULL	NULL	NULL
P00697	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9WVM4	Enzyme	Not available	NULL	NULL	NULL	NULL
P32189	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8QGU2	Enzyme	Not available	NULL	NULL	NULL	NULL
Q5E9B1	Enzyme	Not available	NULL	NULL	NULL	NULL
P49088	Enzyme	Not available	NULL	NULL	NULL	NULL
Q6P7Q4	Enzyme	Not available	NULL	NULL	NULL	NULL
P97535	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9UKM7	Enzyme	Not available	NULL	NULL	NULL	NULL
Q7Z4W1	Enzyme	Not available	NULL	NULL	NULL	NULL
P23589	Enzyme	Not available	NULL	NULL	NULL	NULL
P10938	Enzyme	Not available	NULL	NULL	NULL	NULL
P53611	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9NWM8	Enzyme	Not available	NULL	NULL	NULL	NULL
P49888	Enzyme	Not available	NULL	NULL	NULL	NULL
P00507	Enzyme	Not available	NULL	NULL	NULL	NULL
Q64194	Enzyme	Not available	NULL	NULL	NULL	NULL
P00441	Enzyme	Not available	NULL	NULL	NULL	NULL
P00492	Enzyme	Not available	NULL	NULL	NULL	NULL
Q96BI3	Enzyme	Not available	NULL	NULL	NULL	NULL
P68825	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9NZ42	Enzyme	Not available	NULL	NULL	NULL	NULL
P29410	Enzyme	Not available	NULL	NULL	NULL	NULL
P29702	Enzyme	Not available	NULL	NULL	NULL	NULL
P16469	Enzyme	Not available	NULL	NULL	NULL	NULL
Q64640	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8WW43	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9UDW1	Enzyme	Not available	NULL	NULL	NULL	NULL
P50247	Enzyme	Not available	NULL	NULL	NULL	NULL
P00502	Enzyme	Not available	NULL	NULL	NULL	NULL
P16232	Enzyme	Not available	NULL	NULL	NULL	NULL
P06746	Enzyme	Not available	NULL	NULL	NULL	NULL
P85973	Enzyme	Not available	NULL	NULL	NULL	NULL
P11497	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9NNW7	Enzyme	Not available	NULL	NULL	NULL	NULL
P29703	Enzyme	Not available	NULL	NULL	NULL	NULL
P35219	Enzyme	Not available	NULL	NULL	NULL	NULL
P69520	Enzyme	Not available	NULL	NULL	NULL	NULL
P49354	Enzyme	Not available	NULL	NULL	NULL	NULL
O75493	Enzyme	Not available	NULL	NULL	NULL	NULL
Q01579	Enzyme	Not available	NULL	NULL	NULL	NULL
Q04760	Enzyme	Not available	NULL	NULL	NULL	NULL
Q99MI5	Enzyme	Not available	NULL	NULL	NULL	NULL
P68106	Enzyme	Not available	NULL	NULL	NULL	NULL
P11678	Enzyme	Not available	NULL	NULL	NULL	NULL
P05164	Enzyme	Not available	NULL	NULL	NULL	NULL
P11247	Enzyme	Not available	NULL	NULL	NULL	NULL
Q28017	Enzyme	Not available	NULL	NULL	NULL	NULL
P27707	Enzyme	Not available	NULL	NULL	NULL	NULL
P30648	Enzyme	Not available	NULL	NULL	NULL	NULL
O15296	Enzyme	Not available	NULL	NULL	NULL	NULL
P04177	Enzyme	Not available	NULL	NULL	NULL	NULL
P28650	Enzyme	Not available	NULL	NULL	NULL	NULL
Q14117	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9BZX2	Enzyme	Not available	NULL	NULL	NULL	NULL
O95045	Enzyme	Not available	NULL	NULL	NULL	NULL
P19961	Enzyme	Not available	NULL	NULL	NULL	NULL
P04745	Enzyme	Not available	NULL	NULL	NULL	NULL
P23336	Enzyme	Not available	NULL	NULL	NULL	NULL
P13221	Enzyme	Not available	NULL	NULL	NULL	NULL
P32871	Enzyme	Not available	NULL	NULL	NULL	NULL
P51580	Enzyme	Not available	NULL	NULL	NULL	NULL
Q95L14	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8HXG6	Enzyme	Not available	NULL	NULL	NULL	NULL
P08010	Enzyme	Not available	NULL	NULL	NULL	NULL
P27986	Enzyme	Not available	NULL	NULL	NULL	NULL
O95363	Enzyme	Not available	NULL	NULL	NULL	NULL
P31939	Enzyme	Not available	NULL	NULL	NULL	NULL
Q14697	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8TET4	Enzyme	Not available	NULL	NULL	NULL	NULL
P06280	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8NFM4	Enzyme	Not available	NULL	NULL	NULL	NULL
Q6AY53	Enzyme	Not available	NULL	NULL	NULL	NULL
P11880	Enzyme	Not available	NULL	NULL	NULL	NULL
P11586	Enzyme	Not available	NULL	NULL	NULL	NULL
P49189	Enzyme	Not available	NULL	NULL	NULL	NULL
P19021	Enzyme	Not available	NULL	NULL	NULL	NULL
P30519	Enzyme	Not available	NULL	NULL	NULL	NULL
Q91WF3	Enzyme	Not available	NULL	NULL	NULL	NULL
P84309	Enzyme	Not available	NULL	NULL	NULL	NULL
P06737	Enzyme	Not available	NULL	NULL	NULL	NULL
P43346	Enzyme	Not available	NULL	NULL	NULL	NULL
O60762	Enzyme	Not available	NULL	NULL	NULL	NULL
P56221	Enzyme	Not available	NULL	NULL	NULL	NULL
P30419	Enzyme	Not available	NULL	NULL	NULL	NULL
O35880	Enzyme	Not available	NULL	NULL	NULL	NULL
Q99N42	Enzyme	Not available	NULL	NULL	NULL	NULL
P26640	Enzyme	Not available	NULL	NULL	NULL	NULL
Q99259	Enzyme	Not available	NULL	NULL	NULL	NULL
P24752	Enzyme	Not available	NULL	NULL	NULL	NULL
O75038	Enzyme	Not available	NULL	NULL	NULL	NULL
P07943	Enzyme	Not available	NULL	NULL	NULL	NULL
P12337	Enzyme	Not available	NULL	NULL	NULL	NULL
P00327	Enzyme	Not available	NULL	NULL	NULL	NULL
P00382	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8K2I1	Enzyme	Not available	NULL	NULL	NULL	NULL
P32019	Enzyme	Not available	NULL	NULL	NULL	NULL
P60891	Enzyme	Not available	NULL	NULL	NULL	NULL
Q14558	Enzyme	Not available	NULL	NULL	NULL	NULL
P52789	Enzyme	Not available	NULL	NULL	NULL	NULL
P70313	Enzyme	Not available	NULL	NULL	NULL	NULL
O60256	Enzyme	Not available	NULL	NULL	NULL	NULL
P49356	Enzyme	Not available	NULL	NULL	NULL	NULL
P22437	Enzyme	Not available	NULL	NULL	NULL	NULL
O88908	Enzyme	Not available	NULL	NULL	NULL	NULL
O60503	Enzyme	Not available	NULL	NULL	NULL	NULL
P06732	Enzyme	Not available	NULL	NULL	NULL	NULL
P09242	Enzyme	Not available	NULL	NULL	NULL	NULL
Q64602	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9CQ65	Enzyme	Not available	NULL	NULL	NULL	NULL
P23526	Enzyme	Not available	NULL	NULL	NULL	NULL
Q80ZG2	Enzyme	Not available	NULL	NULL	NULL	NULL
P15348	Enzyme	Not available	NULL	NULL	NULL	NULL
P00560	Enzyme	Not available	NULL	NULL	NULL	NULL
D4A3N4	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9Y2E5	Enzyme	Not available	NULL	NULL	NULL	NULL
P21643	Enzyme	Not available	NULL	NULL	NULL	NULL
P19367	Enzyme	Not available	NULL	NULL	NULL	NULL
P51830	Enzyme	Not available	NULL	NULL	NULL	NULL
P38918	Enzyme	Not available	NULL	NULL	NULL	NULL
P48319	Enzyme	Not available	NULL	NULL	NULL	NULL
O66127	Enzyme	Not available	NULL	NULL	NULL	NULL
P52790	Enzyme	Not available	NULL	NULL	NULL	NULL
P17164	Enzyme	Not available	NULL	NULL	NULL	NULL
Q99519	Enzyme	Not available	NULL	NULL	NULL	NULL
P08236	Enzyme	Not available	NULL	NULL	NULL	NULL
P08289	Enzyme	Not available	NULL	NULL	NULL	NULL
P21980	Enzyme	Not available	NULL	NULL	NULL	NULL
P54098	Enzyme	Not available	NULL	NULL	NULL	NULL
Q02759	Enzyme	Not available	NULL	NULL	NULL	NULL
P16638	Enzyme	Not available	NULL	NULL	NULL	NULL
P14410	Enzyme	Not available	NULL	NULL	NULL	NULL
Q15147	Enzyme	Not available	NULL	NULL	NULL	NULL
P56560	Enzyme	Not available	NULL	NULL	NULL	NULL
P21236	Enzyme	Not available	NULL	NULL	NULL	NULL
P17405	Enzyme	Not available	NULL	NULL	NULL	NULL
P49004	Enzyme	Not available	NULL	NULL	NULL	NULL
P49005	Enzyme	Not available	NULL	NULL	NULL	NULL
Q3THK7	Enzyme	Not available	NULL	NULL	NULL	NULL
O18956	Enzyme	Not available	NULL	NULL	NULL	NULL
P97687	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8IV08	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9I8A2	Enzyme	Not available	NULL	NULL	NULL	NULL
Q63108	Enzyme	Not available	NULL	NULL	NULL	NULL
B2RQC6	Enzyme	Not available	NULL	NULL	NULL	NULL
B1WC34	Enzyme	Not available	NULL	NULL	NULL	NULL
P10111	Enzyme	Not available	NULL	NULL	NULL	NULL
P35610	Enzyme	Not available	NULL	NULL	NULL	NULL
P37059	Enzyme	Not available	NULL	NULL	NULL	NULL
O88554	Enzyme	Not available	NULL	NULL	NULL	NULL
P22735	Enzyme	Not available	NULL	NULL	NULL	NULL
P48448	Enzyme	Not available	NULL	NULL	NULL	NULL
P11884	Enzyme	Not available	NULL	NULL	NULL	NULL
Q02218	Enzyme	Not available	NULL	NULL	NULL	NULL
P00388	Enzyme	Not available	NULL	NULL	NULL	NULL
P46439	Enzyme	Not available	NULL	NULL	NULL	NULL
P09601	Enzyme	Not available	NULL	NULL	NULL	NULL
P54136	Enzyme	Not available	NULL	NULL	NULL	NULL
P49641	Enzyme	Not available	NULL	NULL	NULL	NULL
P0A6B4	Enzyme	Not available	NULL	NULL	NULL	NULL
P18298	Enzyme	Not available	NULL	NULL	NULL	NULL
P80041	Enzyme	Not available	NULL	NULL	NULL	NULL
O35083	Enzyme	Not available	NULL	NULL	NULL	NULL
O60551	Enzyme	Not available	NULL	NULL	NULL	NULL
P21139	Enzyme	Not available	NULL	NULL	NULL	NULL
Q7TQM4	Enzyme	Not available	NULL	NULL	NULL	NULL
O62664	Enzyme	Not available	NULL	NULL	NULL	NULL
P16455	Enzyme	Not available	NULL	NULL	NULL	NULL
P23109	Enzyme	Not available	NULL	NULL	NULL	NULL
P56192	Enzyme	Not available	NULL	NULL	NULL	NULL
Q29450	Enzyme	Not available	NULL	NULL	NULL	NULL
Q64437	Enzyme	Not available	NULL	NULL	NULL	NULL
P26770	Enzyme	Not available	NULL	NULL	NULL	NULL
Q04400	Enzyme	Not available	NULL	NULL	NULL	NULL
P00558	Enzyme	Not available	NULL	NULL	NULL	NULL
P48760	Enzyme	Not available	NULL	NULL	NULL	NULL
O70310	Enzyme	Not available	NULL	NULL	NULL	NULL
Q08828	Enzyme	Not available	NULL	NULL	NULL	NULL
P16050	Enzyme	Not available	NULL	NULL	NULL	NULL
P47713	Enzyme	Not available	NULL	NULL	NULL	NULL
P50233	Enzyme	Not available	NULL	NULL	NULL	NULL
P11348	Enzyme	Not available	NULL	NULL	NULL	NULL
P35558	Enzyme	Not available	NULL	NULL	NULL	NULL
Q01432	Enzyme	Not available	NULL	NULL	NULL	NULL
O14746	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8VHH7	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9QXG4	Enzyme	Not available	NULL	NULL	NULL	NULL
Q6P4F1	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9Y6K8	Enzyme	Not available	NULL	NULL	NULL	NULL
P51647	Enzyme	Not available	NULL	NULL	NULL	NULL
P53341	Enzyme	Not available	NULL	NULL	NULL	NULL
P55859	Enzyme	Not available	NULL	NULL	NULL	NULL
P50127	Enzyme	Not available	NULL	NULL	NULL	NULL
P07314	Enzyme	Not available	NULL	NULL	NULL	NULL
Q90YJ9	Enzyme	Not available	NULL	NULL	NULL	NULL
P41682	Enzyme	Not available	NULL	NULL	NULL	NULL
P05423	Enzyme	Not available	NULL	NULL	NULL	NULL
P05979	Enzyme	Not available	NULL	NULL	NULL	NULL
Q05329	Enzyme	Not available	NULL	NULL	NULL	NULL
P26769	Enzyme	Not available	NULL	NULL	NULL	NULL
P40145	Enzyme	Not available	NULL	NULL	NULL	NULL
P97490	Enzyme	Not available	NULL	NULL	NULL	NULL
P48284	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8N3E9	Enzyme	Not available	NULL	NULL	NULL	NULL
P70712	Enzyme	Not available	NULL	NULL	NULL	NULL
Q01813	Enzyme	Not available	NULL	NULL	NULL	NULL
Q03343	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9MYX2	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9TVW2	Enzyme	Not available	NULL	NULL	NULL	NULL
P28720	Enzyme	Not available	NULL	NULL	NULL	NULL
P30122	Enzyme	Not available	NULL	NULL	NULL	NULL
P08319	Enzyme	Not available	NULL	NULL	NULL	NULL
P19643	Enzyme	Not available	NULL	NULL	NULL	NULL
Q01433	Enzyme	Not available	NULL	NULL	NULL	NULL
P33611	Enzyme	Not available	NULL	NULL	NULL	NULL
P15709	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9ET01	Enzyme	Not available	NULL	NULL	NULL	NULL
Q01341	Enzyme	Not available	NULL	NULL	NULL	NULL
P51829	Enzyme	Not available	NULL	NULL	NULL	NULL
Q6IMK5	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9NRA0	Enzyme	Not available	NULL	NULL	NULL	NULL
Q96KS0	Enzyme	Not available	NULL	NULL	NULL	NULL
P17735	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9UQ49	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9NXG6	Enzyme	Not available	NULL	NULL	NULL	NULL
P29476	Enzyme	Not available	NULL	NULL	NULL	NULL
Q80TL1	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8BW75	Enzyme	Not available	NULL	NULL	NULL	NULL
Q06518	Enzyme	Not available	NULL	NULL	NULL	NULL
P49891	Enzyme	Not available	NULL	NULL	NULL	NULL
P47897	Enzyme	Not available	NULL	NULL	NULL	NULL
Q13231	Enzyme	Not available	NULL	NULL	NULL	NULL
P16116	Enzyme	Not available	NULL	NULL	NULL	NULL
P40146	Enzyme	Not available	NULL	NULL	NULL	NULL
Q5SWU9	Enzyme	Not available	NULL	NULL	NULL	NULL
O43280	Enzyme	Not available	NULL	NULL	NULL	NULL
P12928	Enzyme	Not available	NULL	NULL	NULL	NULL
P27708	Enzyme	Not available	NULL	NULL	NULL	NULL
Q16822	Enzyme	Not available	NULL	NULL	NULL	NULL
P09172	Enzyme	Not available	NULL	NULL	NULL	NULL
P09853	Enzyme	Not available	NULL	NULL	NULL	NULL
P09874	Enzyme	Not available	NULL	NULL	NULL	NULL
P19971	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8ZLS1	Enzyme	Not available	NULL	NULL	NULL	NULL
P23739	Enzyme	Not available	NULL	NULL	NULL	NULL
P38954	Enzyme	Not available	NULL	NULL	NULL	NULL
P35790	Enzyme	Not available	NULL	NULL	NULL	NULL
P10760	Enzyme	Not available	NULL	NULL	NULL	NULL
P08243	Enzyme	Not available	NULL	NULL	NULL	NULL
O95985	Enzyme	Not available	NULL	NULL	NULL	NULL
O66129	Enzyme	Not available	NULL	NULL	NULL	NULL
P17050	Enzyme	Not available	NULL	NULL	NULL	NULL
P40989	Enzyme	Not available	NULL	NULL	NULL	NULL
O43548	Enzyme	Not available	NULL	NULL	NULL	NULL
Q922D8	Enzyme	Not available	NULL	NULL	NULL	NULL
P42338	Enzyme	Not available	NULL	NULL	NULL	NULL
Q11128	Enzyme	Not available	NULL	NULL	NULL	NULL
P50554	Enzyme	Not available	NULL	NULL	NULL	NULL
P24822	Enzyme	Not available	NULL	NULL	NULL	NULL
D3Z6H8	Enzyme	Not available	NULL	NULL	NULL	NULL
P14604	Enzyme	Not available	NULL	NULL	NULL	NULL
P08703	Enzyme	Not available	NULL	NULL	NULL	NULL
O60266	Enzyme	Not available	NULL	NULL	NULL	NULL
P27169	Enzyme	Not available	NULL	NULL	NULL	NULL
Q05932	Enzyme	Not available	NULL	NULL	NULL	NULL
Q12882	Enzyme	Not available	NULL	NULL	NULL	NULL
Q92547	Enzyme	Not available	NULL	NULL	NULL	NULL
O60704	Enzyme	Not available	NULL	NULL	NULL	NULL
P54577	Enzyme	Not available	NULL	NULL	NULL	NULL
O00748	Enzyme	Not available	NULL	NULL	NULL	NULL
P14061	Enzyme	Not available	NULL	NULL	NULL	NULL
O02811	Enzyme	Not available	NULL	NULL	NULL	NULL
A6H5Y3	Enzyme	Not available	NULL	NULL	NULL	NULL
O95622	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9Y3R4	Enzyme	Not available	NULL	NULL	NULL	NULL
Q6B4J2	Enzyme	Not available	NULL	NULL	NULL	NULL
O60733	Enzyme	Not available	NULL	NULL	NULL	NULL
P08037	Enzyme	Not available	NULL	NULL	NULL	NULL
Q63704	Enzyme	Not available	NULL	NULL	NULL	NULL
P19835	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8TCG2	Enzyme	Not available	NULL	NULL	NULL	NULL
O43306	Enzyme	Not available	NULL	NULL	NULL	NULL
P32352	Enzyme	Not available	NULL	NULL	NULL	NULL
P39655	Enzyme	Not available	NULL	NULL	NULL	NULL
P0CO23	Enzyme	Not available	NULL	NULL	NULL	NULL
P97612	Enzyme	Not available	NULL	NULL	NULL	NULL
P07896	Enzyme	Not available	NULL	NULL	NULL	NULL
P41252	Enzyme	Not available	NULL	NULL	NULL	NULL
P23786	Enzyme	Not available	NULL	NULL	NULL	NULL
P09811	Enzyme	Not available	NULL	NULL	NULL	NULL
Q01984	Enzyme	Not available	NULL	NULL	NULL	NULL
P08575	Enzyme	Not available	NULL	NULL	NULL	NULL
P07205	Enzyme	Not available	NULL	NULL	NULL	NULL
O70282	Enzyme	Not available	NULL	NULL	NULL	NULL
P21398	Enzyme	Not available	NULL	NULL	NULL	NULL
Q06278	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9P2J5	Enzyme	Not available	NULL	NULL	NULL	NULL
P25409	Enzyme	Not available	NULL	NULL	NULL	NULL
P17105	Enzyme	Not available	NULL	NULL	NULL	NULL
P48450	Enzyme	Not available	NULL	NULL	NULL	NULL
Q91V92	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9TTK6	Enzyme	Not available	NULL	NULL	NULL	NULL
P48736	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9UBF8	Enzyme	Not available	NULL	NULL	NULL	NULL
P21217	Enzyme	Not available	NULL	NULL	NULL	NULL
P06700	Enzyme	Not available	NULL	NULL	NULL	NULL
P13051	Enzyme	Not available	NULL	NULL	NULL	NULL
Q9P212	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8II79	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8K4F2	Enzyme	Not available	NULL	NULL	NULL	NULL
P08237	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8CFB8	Enzyme	Not available	NULL	NULL	NULL	NULL
P05505	Enzyme	Not available	NULL	NULL	NULL	NULL
P06733	Enzyme	Not available	NULL	NULL	NULL	NULL
O35795	Enzyme	Not available	NULL	NULL	NULL	NULL
P54001	Enzyme	Not available	NULL	NULL	NULL	NULL
P42335	Enzyme	Not available	NULL	NULL	NULL	NULL
O49150	Enzyme	Not available	NULL	NULL	NULL	NULL
O35854	Enzyme	Not available	NULL	NULL	NULL	NULL
Q8R431	Enzyme	Not available	NULL	NULL	NULL	NULL
P52700	Enzyme	Not available	NULL	NULL	NULL	NULL
Q4DI50	Enzyme	Not available	NULL	NULL	NULL	NULL
A0A181EIT2	Enzyme	Not available	NULL	NULL	NULL	NULL
O97554	Enzyme	Not available	NULL	NULL	NULL	NULL
P37268	Enzyme	Not available	NULL	NULL	NULL	NULL
P28474	Enzyme	Not available	NULL	NULL	NULL	NULL
P46664	Enzyme	Not available	NULL	NULL	NULL	NULL
P9WPX7	Enzyme	Not available	NULL	NULL	NULL	NULL
P23711	Enzyme	Not available	NULL	NULL	NULL	NULL
Q13085	Enzyme	Not available	NULL	NULL	NULL	NULL
D3ZAN3	Enzyme	Not available	NULL	NULL	NULL	NULL
Q03469	Enzyme	Not available	NULL	NULL	NULL	NULL
P90518	Enzyme	Not available	NULL	NULL	NULL	NULL
P21396	Enzyme	Not available	NULL	NULL	NULL	NULL
P49221	Enzyme	Not available	NULL	NULL	NULL	NULL
Q08188	Enzyme	Not available	NULL	NULL	NULL	NULL
P00329	Enzyme	Not available	NULL	NULL	NULL	NULL
P00959	Enzyme	Not available	NULL	NULL	NULL	NULL
Q95323	Enzyme	Not available	NULL	NULL	NULL	NULL
P27595	Enzyme	Not available	NULL	NULL	NULL	NULL
P07003	Enzyme	Not available	NULL	NULL	NULL	NULL
Q29550	Enzyme	Not available	NULL	NULL	NULL	NULL
