accession	parent_molregno	integrated_plasma_activity	predicted
P16473	1159	1.0	0
P22748	1159	0.0	0
P23280	1159	1.0	0
P35218	1159	0.0	0
P43166	1159	1.0	0
Q16790	1159	1.0	0
Q8N1Q1	1159	1.0	0
Q9NUW8	1159	0.0	0
Q9ULX7	1159	0.0	0
Q9Y2D0	1159	0.0	0
P00352	1216	0.0	0
P00374	1216	0.0	0
P16473	1216	0.0	0
P19838	1216	1.0	0
P54132	1216	1.0	0
Q16637	1216	0.0	0
Q99714	1216	1.0	0
P02545	1219	0.0	0
P08183	1219	0.0	0
P08913	1219	1.0	0
P16473	1219	0.0	0
P25021	1219	0.0	0
P28223	1219	1.0	0
P28335	1219	1.0	0
P31645	1219	1.0	0
P35462	1219	1.0	0
P41595	1219	1.0	0
P46063	1219	0.0	0
Q12809	1219	1.0	0
Q13936	1219	0.0	0
Q16637	1219	0.0	0
Q6W5P4	1219	0.0	0
P00352	1223	0.0	0
P00915	1223	0.0	0
P00918	1223	0.0	0
P02545	1223	1.0	0
P10636	1223	0.0	0
P16473	1223	0.0	0
P24557	1223	0.0	0
P28482	1223	0.0	0
Q16665	1223	1.0	0
P02545	1278	0.0	0
P08183	1278	0.0	0
P08684	1278	0.0	0
P10828	1278	0.0	0
P16473	1278	0.0	0
P42858	1278	0.0	0
P54132	1278	1.0	0
Q12809	1278	0.0	0
Q13936	1278	0.0	0
P02545	1279	1.0	0
P07550	1279	0.0	0
P08588	1279	1.0	0
P0DMS8	1279	1.0	0
Q9NUW8	1279	1.0	0
P00352	1280	0.0	0
P05106	1280	0.0	0
P16473	1280	1.0	0
P23219	1280	0.0	0
P35354	1280	0.0	0
P54132	1280	1.0	0
Q99714	1280	0.0	0
Q9NUW8	1280	0.0	0
O15118	1325	0.0	0
P00352	1325	0.0	0
P02545	1325	0.0	0
P04637	1325	0.0	0
P08183	1325	0.0	0
P10636	1325	0.0	0
P16050	1325	0.0	0
P16473	1325	0.0	0
P19838	1325	0.0	0
P28482	1325	0.0	0
P40225	1325	0.0	0
P42345	1325	0.0	0
P42858	1325	0.0	0
P51151	1325	0.0	0
Q12809	1325	0.0	0
Q15125	1325	1.0	0
