accession	parent_molregno	integrated_plasma_activity	predicted
Q99720	996	1	0
O43570	1085	1	0
P00915	1085	1	0
P00918	1085	1	0
P02545	1085	1	0
P22748	1085	0	0
P23280	1085	1	0
P35218	1085	1	0
P43166	1085	1	0
Q16790	1085	1	0
Q8N1Q1	1085	1	0
Q9ULX7	1085	1	0
Q9Y2D0	1085	1	0
P06241	1114	0	0
O43570	1124	1	0
P00915	1124	1	0
P00918	1124	1	0
P07451	1124	1	0
P10636	1124	0	0
P15428	1124	0	0
P22748	1124	0	0
P23280	1124	1	0
P35218	1124	1	0
P42858	1124	0	0
P43166	1124	1	0
Q16790	1124	1	0
Q8N1Q1	1124	1	0
Q99714	1124	0	0
Q9ULX7	1124	1	0
Q9Y2D0	1124	1	0
O43570	1125	1	0
O75493	1125	1	0
P00915	1125	1	0
P00918	1125	1	0
P07451	1125	0	0
P10828	1125	0	0
P22748	1125	1	0
P23280	1125	1	0
P35218	1125	1	0
P43166	1125	1	0
P54132	1125	0	0
Q16637	1125	1	0
Q16790	1125	1	0
Q8N1Q1	1125	1	0
Q9NUW8	1125	0	0
Q9ULX7	1125	1	0
Q9Y2D0	1125	1	0
B2RXH2	1148	0	0
O43570	1148	1	0
P00915	1148	0	0
P00918	1148	0	0
P10636	1148	0	0
P22748	1148	0	0
P23280	1148	0	0
P35218	1148	0	0
P43166	1148	1	0
Q16637	1148	0	0
Q16790	1148	1	0
Q9ULX7	1148	0	0
Q9Y2D0	1148	0	0
O43570	1159	1	0
O75604	1159	0	0
P00915	1159	0	0
P00918	1159	0	0
P07451	1159	1	0
P16473	1159	1	0
P22748	1159	0	0
P23280	1159	1	0
P35218	1159	0	0
P43166	1159	1	0
Q16790	1159	1	0
Q8N1Q1	1159	1	0
Q9NUW8	1159	0	0
Q9ULX7	1159	0	0
Q9Y2D0	1159	0	0
O15245	1216	0	0
P00352	1216	0	0
P00374	1216	0	0
P16473	1216	0	0
P19838	1216	1	0
P54132	1216	1	0
Q16637	1216	0	0
Q99714	1216	1	0
O15245	1219	0	0
