tid	pref_name	target_type	accession	accession_organism	target_organism
10627	Serotonin 6 (5-HT6) receptor	SINGLE PROTEIN	P50406	Homo sapiens	Homo sapiens
10806	Tumor necrosis factor receptor R1	SINGLE PROTEIN	P19438	Homo sapiens	Homo sapiens
10743	Cytochrome P450 4F2	SINGLE PROTEIN	P78329	Homo sapiens	Homo sapiens
12500	Small conductance calcium-activated potassium channel protein 3	SINGLE PROTEIN	Q9UGI6	Homo sapiens	Homo sapiens
11637	Protein kinase N1	SINGLE PROTEIN	Q16512	Homo sapiens	Homo sapiens
12399	Threonyl-tRNA synthetase	SINGLE PROTEIN	P26639	Homo sapiens	Homo sapiens
12026	DNA topoisomerase II beta	SINGLE PROTEIN	Q02880	Homo sapiens	Homo sapiens
12911	Cytochrome P450 2C9	SINGLE PROTEIN	P11712	Homo sapiens	Homo sapiens
11912	Pregnane X receptor	SINGLE PROTEIN	O75469	Homo sapiens	Homo sapiens
11919	Alkaline phosphatase placental-like	SINGLE PROTEIN	P10696	Homo sapiens	Homo sapiens
11938	6-phosphogluconate dehydrogenase	SINGLE PROTEIN	P52209	Homo sapiens	Homo sapiens
10372	Glutathione S-transferase A1	SINGLE PROTEIN	P08263	Homo sapiens	Homo sapiens
11293	Prenyl protein specific protease	SINGLE PROTEIN	Q9Y256	Homo sapiens	Homo sapiens
10683	Nicastrin	SINGLE PROTEIN	Q92542	Homo sapiens	Homo sapiens
10323	Carboxypeptidase B2 isoform A	SINGLE PROTEIN	Q96IY4	Homo sapiens	Homo sapiens
10177	Phosphodiesterase 1A	SINGLE PROTEIN	P54750	Homo sapiens	Homo sapiens
10624	Serotonin 5a (5-HT5a) receptor	SINGLE PROTEIN	P47898	Homo sapiens	Homo sapiens
10133	Estrogen-related receptor alpha	SINGLE PROTEIN	P11474	Homo sapiens	Homo sapiens
20143	Amine oxidase, copper containing	SINGLE PROTEIN	Q16853	Homo sapiens	Homo sapiens
10216	Protein kinase C zeta	SINGLE PROTEIN	Q05513	Homo sapiens	Homo sapiens
11726	Aminopeptidase A	SINGLE PROTEIN	Q07075	Homo sapiens	Homo sapiens
10052	HLA class II histocompatibility antigen DRB3-1	SINGLE PROTEIN	P79483	Homo sapiens	Homo sapiens
12067	Caspase-7	SINGLE PROTEIN	P55210	Homo sapiens	Homo sapiens
10548	C-C chemokine receptor type 3	SINGLE PROTEIN	P51677	Homo sapiens	Homo sapiens
10584	Phospholipase A2 group IIA	SINGLE PROTEIN	P14555	Homo sapiens	Homo sapiens
10588	Plasminogen activator inhibitor-1	SINGLE PROTEIN	P05121	Homo sapiens	Homo sapiens
10751	Inhibitor of nuclear factor kappa B kinase alpha subunit	SINGLE PROTEIN	O15111	Homo sapiens	Homo sapiens
100611	Cytochrome P450 2J2	SINGLE PROTEIN	P51589	Homo sapiens	Homo sapiens
100613	Proteasome Macropain subunit	SINGLE PROTEIN	P49721	Homo sapiens	Homo sapiens
100616	NADP-dependent malic enzyme	SINGLE PROTEIN	P48163	Homo sapiens	Homo sapiens
11063	Carbonic anhydrase XIV	SINGLE PROTEIN	Q9ULX7	Homo sapiens	Homo sapiens
10138	LDL-associated phospholipase A2	SINGLE PROTEIN	Q13093	Homo sapiens	Homo sapiens
12114	Receptor-type tyrosine-protein phosphatase F (LAR)	SINGLE PROTEIN	P10586	Homo sapiens	Homo sapiens
12949	Cytochrome P450 17A1	SINGLE PROTEIN	P05093	Homo sapiens	Homo sapiens
11232	Histone deacetylase 4	SINGLE PROTEIN	P56524	Homo sapiens	Homo sapiens
11237	Integrin alpha-3	SINGLE PROTEIN	P26006	Homo sapiens	Homo sapiens
11243	Muscle glycogen phosphorylase	SINGLE PROTEIN	P11217	Homo sapiens	Homo sapiens
12915	Inhibitor of nuclear factor kappa B kinase epsilon subunit	SINGLE PROTEIN	Q14164	Homo sapiens	Homo sapiens
12919	Dual specificity mitogen-activated protein kinase kinase 7	SINGLE PROTEIN	O14733	Homo sapiens	Homo sapiens
20035	Phosphodiesterase 9A	SINGLE PROTEIN	O76083	Homo sapiens	Homo sapiens
100822	G-protein coupled receptor ChemR23	SINGLE PROTEIN	Q99788	Homo sapiens	Homo sapiens
100824	Serine/threonine-protein kinase NIM1	SINGLE PROTEIN	Q8IY84	Homo sapiens	Homo sapiens
100827	Orphan nuclear receptor LRH-1	SINGLE PROTEIN	O00482	Homo sapiens	Homo sapiens
12693	TRAIL receptor-1	SINGLE PROTEIN	O00220	Homo sapiens	Homo sapiens
12694	Tyrosine-protein kinase TYK2	SINGLE PROTEIN	P29597	Homo sapiens	Homo sapiens
11267	Steryl-sulfatase	SINGLE PROTEIN	P08842	Homo sapiens	Homo sapiens
11275	Malate dehydrogenase cytoplasmic	SINGLE PROTEIN	P40925	Homo sapiens	Homo sapiens
13064	GABA receptor rho-1 subunit	SINGLE PROTEIN	P24046	Homo sapiens	Homo sapiens
11037	Nitric-oxide synthase, brain	SINGLE PROTEIN	P29475	Homo sapiens	Homo sapiens
10517	Cholesteryl ester transfer protein	SINGLE PROTEIN	P11597	Homo sapiens	Homo sapiens
11302	Alanyl-tRNA synthetase	SINGLE PROTEIN	P49588	Homo sapiens	Homo sapiens
11353	RNase L	SINGLE PROTEIN	Q05823	Homo sapiens	Homo sapiens
11125	Voltage-gated potassium channel subunit Kv7.4	SINGLE PROTEIN	P56696	Homo sapiens	Homo sapiens
11130	Aldehyde dehydrogenase 1A1	SINGLE PROTEIN	P00352	Homo sapiens	Homo sapiens
11131	Aldehyde dehydrogenase dimeric NADP-preferring	SINGLE PROTEIN	P30838	Homo sapiens	Homo sapiens
11132	Aldehyde dehydrogenase 1A3	SINGLE PROTEIN	P47895	Homo sapiens	Homo sapiens
10878	Protein kinase C epsilon	SINGLE PROTEIN	Q02156	Homo sapiens	Homo sapiens
10080	1-acylglycerol-3-phosphate O-acyltransferase alpha	SINGLE PROTEIN	Q99943	Homo sapiens	Homo sapiens
18056	Sodium channel protein type VII alpha subunit	SINGLE PROTEIN	Q01118	Homo sapiens	Homo sapiens
11409	Dual specificity mitogen-activated protein kinase kinase 1	SINGLE PROTEIN	Q02750	Homo sapiens	Homo sapiens
10185	Adenosine kinase	SINGLE PROTEIN	P55263	Homo sapiens	Homo sapiens
11214	Hormone sensitive lipase	SINGLE PROTEIN	Q05469	Homo sapiens	Homo sapiens
11218	GABA receptor delta subunit	SINGLE PROTEIN	O14764	Homo sapiens	Homo sapiens
11230	Squalene monooxygenase	SINGLE PROTEIN	Q14534	Homo sapiens	Homo sapiens
12952	Carbonic anhydrase IX	SINGLE PROTEIN	Q16790	Homo sapiens	Homo sapiens
10429	Glutamate receptor ionotropic, AMPA 3	SINGLE PROTEIN	P42263	Homo sapiens	Homo sapiens
17094	Type III iodothyronine deiodinase	SINGLE PROTEIN	P55073	Homo sapiens	Homo sapiens
11617	Protein kinase C eta	SINGLE PROTEIN	P24723	Homo sapiens	Homo sapiens
11387	Coagulation factor V	SINGLE PROTEIN	P12259	Homo sapiens	Homo sapiens
12866	UDP-glucuronosyltransferase 1A4	SINGLE PROTEIN	P22310	Homo sapiens	Homo sapiens
12912	Cytochrome P450 2C19	SINGLE PROTEIN	P33261	Homo sapiens	Homo sapiens
13055	Quinone reductase 1)	SINGLE PROTEIN	P15559	Homo sapiens	Homo sapiens
10044	Casein kinase II alpha	SINGLE PROTEIN	P68400	Homo sapiens	Homo sapiens
12662	Integrin beta-2	SINGLE PROTEIN	P05107	Homo sapiens	Homo sapiens
10985	Neuromedin B receptor	SINGLE PROTEIN	P28336	Homo sapiens	Homo sapiens
100108	RAS guanyl releasing protein 3	SINGLE PROTEIN	Q8IV61	Homo sapiens	Homo sapiens
18003	Suv3 helicase	SINGLE PROTEIN	Q8IYB8	Homo sapiens	Homo sapiens
10266	Fibroblast growth factor receptor 1	SINGLE PROTEIN	P11362	Homo sapiens	Homo sapiens
12668	Tubulin alpha-3 chain	SINGLE PROTEIN	Q71U36	Homo sapiens	Homo sapiens
12179	Growth factor receptor-bound protein 2	SINGLE PROTEIN	P62993	Homo sapiens	Homo sapiens
11940	PI4-kinase alpha subunit	SINGLE PROTEIN	P42356	Homo sapiens	Homo sapiens
11423	3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II	SINGLE PROTEIN	P26439	Homo sapiens	Homo sapiens
20132	Fatty acid binding protein epidermal	SINGLE PROTEIN	Q01469	Homo sapiens	Homo sapiens
12924	Integrin alpha-1	SINGLE PROTEIN	P56199	Homo sapiens	Homo sapiens
12378	Glutamate receptor ionotropic kainate 2	SINGLE PROTEIN	Q13002	Homo sapiens	Homo sapiens
11223	Glutamate receptor ionotropic kainate 3	SINGLE PROTEIN	Q13003	Homo sapiens	Homo sapiens
11134	Arachidonate 12-lipoxygenase	SINGLE PROTEIN	P18054	Homo sapiens	Homo sapiens
100594	Autotaxin	SINGLE PROTEIN	Q13822	Homo sapiens	Homo sapiens
100595	Receptor-type tyrosine-protein phosphatase eta	SINGLE PROTEIN	Q12913	Homo sapiens	Homo sapiens
11473	ADAM17	SINGLE PROTEIN	P78536	Homo sapiens	Homo sapiens
10303	Presenilin 2	SINGLE PROTEIN	P49810	Homo sapiens	Homo sapiens
10329	Prostanoid EP3 receptor	SINGLE PROTEIN	P43115	Homo sapiens	Homo sapiens
11446	Betaine transporter	SINGLE PROTEIN	P48065	Homo sapiens	Homo sapiens
11448	Integrin alpha-6	SINGLE PROTEIN	P23229	Homo sapiens	Homo sapiens
11451	Hepatocyte growth factor receptor	SINGLE PROTEIN	P08581	Homo sapiens	Homo sapiens
12028	ATP-citrate synthase	SINGLE PROTEIN	P53396	Homo sapiens	Homo sapiens
10163	Cytochrome P450 2C8	SINGLE PROTEIN	P10632	Homo sapiens	Homo sapiens
10814	Lysophosphatidic acid receptor Edg-4	SINGLE PROTEIN	Q9HBW0	Homo sapiens	Homo sapiens
10799	Phospholipase C-delta-1	SINGLE PROTEIN	P51178	Homo sapiens	Homo sapiens
12896	Carbonic anhydrase IV	SINGLE PROTEIN	P22748	Homo sapiens	Homo sapiens
13054	Dihydropteridine reductase	SINGLE PROTEIN	P09417	Homo sapiens	Homo sapiens
12677	Amphiregulin	SINGLE PROTEIN	P15514	Homo sapiens	Homo sapiens
11827	Vascular cell adhesion protein 1	SINGLE PROTEIN	P19320	Homo sapiens	Homo sapiens
11848	Angiotensin-converting enzyme 2	SINGLE PROTEIN	Q9BYF1	Homo sapiens	Homo sapiens
20127	11-beta-hydroxysteroid dehydrogenase 2	SINGLE PROTEIN	P80365	Homo sapiens	Homo sapiens
11254	Estrogen-related receptor beta	SINGLE PROTEIN	O95718	Homo sapiens	Homo sapiens
11290	Histamine H4 receptor	SINGLE PROTEIN	Q9H3N8	Homo sapiens	Homo sapiens
11795	Adenylate cyclase type II	SINGLE PROTEIN	Q08462	Homo sapiens	Homo sapiens
11815	Beta-glucosidase	SINGLE PROTEIN	Q9HCG7	Homo sapiens	Homo sapiens
11359	Phosphodiesterase 4D	SINGLE PROTEIN	Q08499	Homo sapiens	Homo sapiens
10927	Urotensin II receptor	SINGLE PROTEIN	Q9UKP6	Homo sapiens	Homo sapiens
11279	Metabotropic glutamate receptor 1	SINGLE PROTEIN	Q13255	Homo sapiens	Homo sapiens
226	Beta-3 adrenergic receptor	SINGLE PROTEIN	P13945	Homo sapiens	Homo sapiens
10332	Dual specificity phosphatase Cdc25A	SINGLE PROTEIN	P30304	Homo sapiens	Homo sapiens
10244	Caspase-8	SINGLE PROTEIN	Q14790	Homo sapiens	Homo sapiens
12956	Metabotropic glutamate receptor 7	SINGLE PROTEIN	Q14831	Homo sapiens	Homo sapiens
19639	Interleukin-1 receptor-associated kinase 4	SINGLE PROTEIN	Q9NWZ3	Homo sapiens	Homo sapiens
10222	Xaa-Pro aminopeptidase 1	SINGLE PROTEIN	Q9NQW7	Homo sapiens	Homo sapiens
100874	Histone acetyltransferase p300	SINGLE PROTEIN	Q09472	Homo sapiens	Homo sapiens
100579	Hydroxycarboxylic acid receptor 2	SINGLE PROTEIN	Q8TDS4	Homo sapiens	Homo sapiens
30003	Serine/threonine-protein kinase PLK4	SINGLE PROTEIN	O00444	Homo sapiens	Homo sapiens
100319	Lymphocyte function-associated antigen 3, CD58	SINGLE PROTEIN	P19256	Homo sapiens	Homo sapiens
11869	Melanocortin receptor 1	SINGLE PROTEIN	Q01726	Homo sapiens	Homo sapiens
20137	Serine-protein kinase ATM	SINGLE PROTEIN	Q13315	Homo sapiens	Homo sapiens
19904	Calcitonin gene-related peptide type 1 receptor	SINGLE PROTEIN	Q16602	Homo sapiens	Homo sapiens
10818	Voltage-gated L-type calcium channel alpha-1S subunit	SINGLE PROTEIN	Q13698	Homo sapiens	Homo sapiens
10258	T-cell protein-tyrosine phosphatase	SINGLE PROTEIN	P17706	Homo sapiens	Homo sapiens
17040	Fibronectin	SINGLE PROTEIN	P02751	Homo sapiens	Homo sapiens
10582	Cytosolic phospholipase A2	SINGLE PROTEIN	P47712	Homo sapiens	Homo sapiens
10032	Bcl2-antagonist of cell death (BAD)	SINGLE PROTEIN	Q92934	Homo sapiens	Homo sapiens
10808	Lysophosphatidic acid receptor Edg-2	SINGLE PROTEIN	Q92633	Homo sapiens	Homo sapiens
20095	Hexokinase type IV	SINGLE PROTEIN	P35557	Homo sapiens	Homo sapiens
19658	Integrin alpha M	SINGLE PROTEIN	P11215	Homo sapiens	Homo sapiens
30002	CaM kinase II gamma	SINGLE PROTEIN	Q13555	Homo sapiens	Homo sapiens
30000	Adaptor-associated kinase	SINGLE PROTEIN	Q2M2I8	Homo sapiens	Homo sapiens
30001	MAP/microtubule affinity-regulating kinase 2	SINGLE PROTEIN	Q7KZI7	Homo sapiens	Homo sapiens
30016	Tyrosine-protein kinase BMX	SINGLE PROTEIN	P51813	Homo sapiens	Homo sapiens
30017	Serine/threonine-protein kinase NEK2	SINGLE PROTEIN	P51955	Homo sapiens	Homo sapiens
10498	Cathepsin L	SINGLE PROTEIN	P07711	Homo sapiens	Homo sapiens
11309	Tubulin beta-4 chain	SINGLE PROTEIN	P04350	Homo sapiens	Homo sapiens
11482	Thyroxine-binding globulin	SINGLE PROTEIN	P05543	Homo sapiens	Homo sapiens
10276	AMP-activated protein kinase, beta-1 subunit	SINGLE PROTEIN	Q9Y478	Homo sapiens	Homo sapiens
11188	Cytochrome P450 51	SINGLE PROTEIN	Q16850	Homo sapiens	Homo sapiens
10768	Brain glycogen phosphorylase	SINGLE PROTEIN	P11216	Homo sapiens	Homo sapiens
10599	Phosphodiesterase 4B	SINGLE PROTEIN	Q07343	Homo sapiens	Homo sapiens
10605	Phosphodiesterase 6D	SINGLE PROTEIN	O43924	Homo sapiens	Homo sapiens
10899	Pyruvate dehydrogenase kinase isoform 2	SINGLE PROTEIN	Q15119	Homo sapiens	Homo sapiens
10903	Protein kinase C mu	SINGLE PROTEIN	Q15139	Homo sapiens	Homo sapiens
11523	Protein-tyrosine phosphatase 2C	SINGLE PROTEIN	Q06124	Homo sapiens	Homo sapiens
11816	Beta-glucosidase cytosolic	SINGLE PROTEIN	Q9H227	Homo sapiens	Homo sapiens
10691	Alcohol dehydrogenase class IV	SINGLE PROTEIN	P40394	Homo sapiens	Homo sapiens
11154	Matrix metalloproteinase 14	SINGLE PROTEIN	P50281	Homo sapiens	Homo sapiens
11324	Aminoacyl-tRNA synthetase	SINGLE PROTEIN	P07814	Homo sapiens	Homo sapiens
11335	Nuclear factor of activated T-cells cytoplasmic 1	SINGLE PROTEIN	O95644	Homo sapiens	Homo sapiens
11365	Cytochrome P450 2D6	SINGLE PROTEIN	P10635	Homo sapiens	Homo sapiens
11515	Phosphodiesterase 6A	SINGLE PROTEIN	P16499	Homo sapiens	Homo sapiens
11213	Heat shock protein HSP 90-alpha	SINGLE PROTEIN	P07900	Homo sapiens	Homo sapiens
20092	Sodium/glucose cotransporter 2	SINGLE PROTEIN	P31639	Homo sapiens	Homo sapiens
20007	Mixed lineage kinase 7	SINGLE PROTEIN	Q9NYL2	Homo sapiens	Homo sapiens
11517	Selectin E	SINGLE PROTEIN	P16581	Homo sapiens	Homo sapiens
10950	Sphingosine 1-phosphate receptor Edg-3	SINGLE PROTEIN	Q99500	Homo sapiens	Homo sapiens
12684	Pyruvate dehydrogenase kinase isoform 3	SINGLE PROTEIN	Q15120	Homo sapiens	Homo sapiens
11959	Voltage-gated calcium channel alpha2/delta subunit 2	SINGLE PROTEIN	Q9NY47	Homo sapiens	Homo sapiens
10144	Bone morphogenetic protein 1	SINGLE PROTEIN	P13497	Homo sapiens	Homo sapiens
11413	Leukocyte proteinase 3	SINGLE PROTEIN	P24158	Homo sapiens	Homo sapiens
11689	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	SINGLE PROTEIN	P16615	Homo sapiens	Homo sapiens
11416	Glutathione S-transferase Pi	SINGLE PROTEIN	P09211	Homo sapiens	Homo sapiens
11274	Beta-mannosidase	SINGLE PROTEIN	O00462	Homo sapiens	Homo sapiens
11837	Inositol 1,4,5-trisphosphate receptor type 3	SINGLE PROTEIN	Q14573	Homo sapiens	Homo sapiens
11842	Tyrosine-protein kinase Lyn	SINGLE PROTEIN	P07948	Homo sapiens	Homo sapiens
11843	Ribosomal protein S6 kinase alpha 2	SINGLE PROTEIN	Q15349	Homo sapiens	Homo sapiens
11395	Phosphodiesterase 3B	SINGLE PROTEIN	Q13370	Homo sapiens	Homo sapiens
10542	Leukotriene B4 receptor 1	SINGLE PROTEIN	Q15722	Homo sapiens	Homo sapiens
12923	Carbonic anhydrase XIII	SINGLE PROTEIN	Q8N1Q1	Homo sapiens	Homo sapiens
10684	Complement C1s	SINGLE PROTEIN	P09871	Homo sapiens	Homo sapiens
11414	Receptor-type tyrosine-protein phosphatase alpha	SINGLE PROTEIN	P18433	Homo sapiens	Homo sapiens
12665	Protein kinase C theta	SINGLE PROTEIN	Q04759	Homo sapiens	Homo sapiens
11653	Heparanase	SINGLE PROTEIN	Q9Y251	Homo sapiens	Homo sapiens
11684	Nischarin	SINGLE PROTEIN	Q9Y2I1	Homo sapiens	Homo sapiens
20008	Dual specificity phosphatase 22	SINGLE PROTEIN	Q9NRW4	Homo sapiens	Homo sapiens
20171	Serine/threonine-protein kinase Aurora-C	SINGLE PROTEIN	Q9UQB9	Homo sapiens	Homo sapiens
30004	Serine/threonine-protein kinase 16	SINGLE PROTEIN	O75716	Homo sapiens	Homo sapiens
11789	Fibronectin receptor alpha	SINGLE PROTEIN	P08648	Homo sapiens	Homo sapiens
12276	Mitogen-activated protein kinase kinase kinase 1	SINGLE PROTEIN	Q13233	Homo sapiens	Homo sapiens
10170	Quinone reductase 2	SINGLE PROTEIN	P16083	Homo sapiens	Homo sapiens
10120	MAP kinase p38 beta	SINGLE PROTEIN	Q15759	Homo sapiens	Homo sapiens
11533	Kynurenine--oxoglutarate transaminase I	SINGLE PROTEIN	Q16773	Homo sapiens	Homo sapiens
11943	Phospholipase C-gamma-1	SINGLE PROTEIN	P19174	Homo sapiens	Homo sapiens
12387	Leucine aminopeptidase	SINGLE PROTEIN	P28838	Homo sapiens	Homo sapiens
11016	Carbonic anhydrase VB	SINGLE PROTEIN	Q9Y2D0	Homo sapiens	Homo sapiens
12291	GAR transformylase	SINGLE PROTEIN	P22102	Homo sapiens	Homo sapiens
11925	Fibroblast growth factor receptor 4	SINGLE PROTEIN	P22455	Homo sapiens	Homo sapiens
10653	Proteinase-activated receptor 1	SINGLE PROTEIN	P25116	Homo sapiens	Homo sapiens
11415	Fructose-1,6-bisphosphatase	SINGLE PROTEIN	P09467	Homo sapiens	Homo sapiens
12268	Dipeptidyl peptidase II	SINGLE PROTEIN	Q9UHL4	Homo sapiens	Homo sapiens
11360	Phosphodiesterase 6C	SINGLE PROTEIN	P51160	Homo sapiens	Homo sapiens
11187	Cytochrome P450 4A11	SINGLE PROTEIN	Q02928	Homo sapiens	Homo sapiens
12227	Peroxisome proliferator-activated receptor delta	SINGLE PROTEIN	Q03181	Homo sapiens	Homo sapiens
30005	Serine/threonine-protein kinase 17B	SINGLE PROTEIN	O94768	Homo sapiens	Homo sapiens
30006	Serine/threonine-protein kinase 10	SINGLE PROTEIN	O94804	Homo sapiens	Homo sapiens
30007	Tyrosine-protein kinase FER	SINGLE PROTEIN	P16591	Homo sapiens	Homo sapiens
30011	Dual specificity protein kinase TTK	SINGLE PROTEIN	P33981	Homo sapiens	Homo sapiens
30033	Tyrosine- and threonine-specific cdc2-inhibitory kinase	SINGLE PROTEIN	Q99640	Homo sapiens	Homo sapiens
30019	Ephrin type-A receptor 5	SINGLE PROTEIN	P54756	Homo sapiens	Homo sapiens
30021	Ephrin type-A receptor 4	SINGLE PROTEIN	P54764	Homo sapiens	Homo sapiens
12000	Coagulation factor VII	SINGLE PROTEIN	P08709	Homo sapiens	Homo sapiens
11406	Insulin-like growth factor binding protein 3	SINGLE PROTEIN	P17936	Homo sapiens	Homo sapiens
11201	Muscle glycogen synthase	SINGLE PROTEIN	P13807	Homo sapiens	Homo sapiens
11326	Histidyl-tRNA synthetase	SINGLE PROTEIN	P12081	Homo sapiens	Homo sapiens
11357	Histidase	SINGLE PROTEIN	P42357	Homo sapiens	Homo sapiens
11361	Phosphorylase kinase gamma subunit 1	SINGLE PROTEIN	Q16816	Homo sapiens	Homo sapiens
11362	PI3-kinase p110-alpha subunit	SINGLE PROTEIN	P42336	Homo sapiens	Homo sapiens
11209	Tyrosine-protein kinase ABL2	SINGLE PROTEIN	P42684	Homo sapiens	Homo sapiens
11575	C-C chemokine receptor type 2	SINGLE PROTEIN	P41597	Homo sapiens	Homo sapiens
11221	Glutamate receptor ionotropic, AMPA 2	SINGLE PROTEIN	P42262	Homo sapiens	Homo sapiens
10477	Neuropeptide Y receptor type 2	SINGLE PROTEIN	P49146	Homo sapiens	Homo sapiens
11472	Signal transducer and activator of transcription 3	SINGLE PROTEIN	P40763	Homo sapiens	Homo sapiens
11574	Interleukin-8 receptor A	SINGLE PROTEIN	P25024	Homo sapiens	Homo sapiens
12984	Phospholipase C-beta-1	SINGLE PROTEIN	Q9NQ66	Homo sapiens	Homo sapiens
13001	Matrix metalloproteinase-2	SINGLE PROTEIN	P08253	Homo sapiens	Homo sapiens
10223	Choline acetylase	SINGLE PROTEIN	P28329	Homo sapiens	Homo sapiens
11364	AMP-activated protein kinase, alpha-1 subunit	SINGLE PROTEIN	Q13131	Homo sapiens	Homo sapiens
11814	Inositol 1,4,5-trisphosphate receptor type 1	SINGLE PROTEIN	Q14643	Homo sapiens	Homo sapiens
11751	FK506 binding protein 4	SINGLE PROTEIN	Q02790	Homo sapiens	Homo sapiens
11540	Cystic fibrosis transmembrane conductance regulator	SINGLE PROTEIN	P13569	Homo sapiens	Homo sapiens
11659	Gamma-glutamylcysteine synthetase	SINGLE PROTEIN	P48506	Homo sapiens	Homo sapiens
11867	Alpha-mannosidase 2A1	SINGLE PROTEIN	Q16706	Homo sapiens	Homo sapiens
11546	Lysosomal alpha-mannosidase	SINGLE PROTEIN	O00754	Homo sapiens	Homo sapiens
10074	Chymase	SINGLE PROTEIN	P23946	Homo sapiens	Homo sapiens
10797	Corticotropin releasing factor receptor 2	SINGLE PROTEIN	Q13324	Homo sapiens	Homo sapiens
12780	Casein kinase II alpha (prime)	SINGLE PROTEIN	P19784	Homo sapiens	Homo sapiens
10494	Cathepsin G	SINGLE PROTEIN	P08311	Homo sapiens	Homo sapiens
10378	Cathepsin B	SINGLE PROTEIN	P07858	Homo sapiens	Homo sapiens
12738	Matrix metalloproteinase 7	SINGLE PROTEIN	P09237	Homo sapiens	Homo sapiens
11071	Sodium/calcium exchanger 1	SINGLE PROTEIN	P32418	Homo sapiens	Homo sapiens
10711	G-protein coupled receptor kinase 2	SINGLE PROTEIN	P25098	Homo sapiens	Homo sapiens
10679	Bombesin receptor subtype-3	SINGLE PROTEIN	P32247	Homo sapiens	Homo sapiens
11092	Coagulation factor III	SINGLE PROTEIN	P13726	Homo sapiens	Homo sapiens
20113	LXR-beta	SINGLE PROTEIN	P55055	Homo sapiens	Homo sapiens
11965	Phospholipase C-gamma-2	SINGLE PROTEIN	P16885	Homo sapiens	Homo sapiens
11969	cAMP-dependent protein kinase alpha-catalytic subunit	SINGLE PROTEIN	P17612	Homo sapiens	Homo sapiens
17111	Glutamate [NMDA] receptor subunit epsilon 3	SINGLE PROTEIN	Q14957	Homo sapiens	Homo sapiens
17022	Retina-specific amine oxidase, copper containing	SINGLE PROTEIN	O75106	Homo sapiens	Homo sapiens
10160	Alcohol dehydrogenase class III	SINGLE PROTEIN	P11766	Homo sapiens	Homo sapiens
10396	CaM kinase II beta	SINGLE PROTEIN	Q13554	Homo sapiens	Homo sapiens
10702	Methionine aminopeptidase 2	SINGLE PROTEIN	P50579	Homo sapiens	Homo sapiens
12910	Neurotensin receptor 1	SINGLE PROTEIN	P30989	Homo sapiens	Homo sapiens
30010	Ephrin type-A receptor 8	SINGLE PROTEIN	P29322	Homo sapiens	Homo sapiens
12592	Matrix metalloproteinase 9	SINGLE PROTEIN	P14780	Homo sapiens	Homo sapiens
10742	Geranylgeranyl transferase type I beta subunit	SINGLE PROTEIN	P53609	Homo sapiens	Homo sapiens
11179	Phospholipase A2 group 1VB	SINGLE PROTEIN	P0C869	Homo sapiens	Homo sapiens
11158	Voltage-gated L-type calcium channel alpha-1D subunit	SINGLE PROTEIN	Q01668	Homo sapiens	Homo sapiens
12685	Pyruvate dehydrogenase kinase isoform 4	SINGLE PROTEIN	Q16654	Homo sapiens	Homo sapiens
10264	Fibroblast growth factor receptor 2	SINGLE PROTEIN	P21802	Homo sapiens	Homo sapiens
11797	Histone deacetylase 9	SINGLE PROTEIN	Q9UKV0	Homo sapiens	Homo sapiens
12414	Vitamin D3 receptor-interacting protein	SINGLE PROTEIN	Q9ULK4	Homo sapiens	Homo sapiens
12415	CaM kinase II alpha	SINGLE PROTEIN	Q9UQM7	Homo sapiens	Homo sapiens
10280	Histamine H3 receptor	SINGLE PROTEIN	Q9Y5N1	Homo sapiens	Homo sapiens
100162	L-type amino acid transporter 3	SINGLE PROTEIN	O75387	Homo sapiens	Homo sapiens
11535	Fatty acid synthase	SINGLE PROTEIN	P49327	Homo sapiens	Homo sapiens
100782	Endoplasmic reticulum-associated amyloid beta-peptide-binding protein	SINGLE PROTEIN	Q99714	Homo sapiens	Homo sapiens
100783	Cathepsin Z	SINGLE PROTEIN	Q9UBR2	Homo sapiens	Homo sapiens
100485	Protein-tyrosine phosphatase 4A3	SINGLE PROTEIN	O75365	Homo sapiens	Homo sapiens
100486	Toll-like receptor 2	SINGLE PROTEIN	O60603	Homo sapiens	Homo sapiens
11854	Sialidase 4	SINGLE PROTEIN	Q8WWR8	Homo sapiens	Homo sapiens
11868	Tyrosine-protein kinase CTK	SINGLE PROTEIN	P42679	Homo sapiens	Homo sapiens
11390	Alpha-L-fucosidase I	SINGLE PROTEIN	P04066	Homo sapiens	Homo sapiens
11405	Insulin-like growth factor binding protein 1	SINGLE PROTEIN	P08833	Homo sapiens	Homo sapiens
11407	c-Jun N-terminal kinase 2	SINGLE PROTEIN	P45984	Homo sapiens	Homo sapiens
11431	S-adenosylmethionine decarboxylase 1	SINGLE PROTEIN	P17707	Homo sapiens	Homo sapiens
11444	P-selectin glycoprotein ligand 1	SINGLE PROTEIN	Q14242	Homo sapiens	Homo sapiens
11450	Lysosomal acid lipase/cholesteryl ester hydrolase	SINGLE PROTEIN	P38571	Homo sapiens	Homo sapiens
11453	Xaa-Pro dipeptidase	SINGLE PROTEIN	P12955	Homo sapiens	Homo sapiens
18072	Sodium channel protein type II alpha subunit	SINGLE PROTEIN	Q99250	Homo sapiens	Homo sapiens
100196	Homeobox protein Brn-2	SINGLE PROTEIN	P20265	Homo sapiens	Homo sapiens
