tid	pref_name	target_type	accession	accession_organism	target_organism
3	Phosphodiesterase 5A	SINGLE PROTEIN	O76074	Homo sapiens	Homo sapiens
54	DNA polymerase alpha subunit	SINGLE PROTEIN	P09884	Homo sapiens	Homo sapiens
11208	Histone deacetylase 3	SINGLE PROTEIN	O15379	Homo sapiens	Homo sapiens
251	Platelet activating factor receptor	SINGLE PROTEIN	P25105	Homo sapiens	Homo sapiens
98	Ribonucleoside-diphosphate reductase M1 chain	SINGLE PROTEIN	P23921	Homo sapiens	Homo sapiens
72	Dopamine D2 receptor	SINGLE PROTEIN	P14416	Homo sapiens	Homo sapiens
119	Calcitonin receptor	SINGLE PROTEIN	P30988	Homo sapiens	Homo sapiens
115	Type-1 angiotensin II receptor	SINGLE PROTEIN	P30556	Homo sapiens	Homo sapiens
227	Serotonin 2b (5-HT2b) receptor	SINGLE PROTEIN	P41595	Homo sapiens	Homo sapiens
229	Ig epsilon chain C region	SINGLE PROTEIN	P01854	Homo sapiens	Homo sapiens
248	Thromboxane-A synthase	SINGLE PROTEIN	P24557	Homo sapiens	Homo sapiens
262	Prostanoid EP4 receptor	SINGLE PROTEIN	P35408	Homo sapiens	Homo sapiens
267	Vesicular amine transporter 1	SINGLE PROTEIN	P54219	Homo sapiens	Homo sapiens
40	Thyroid peroxidase	SINGLE PROTEIN	P07202	Homo sapiens	Homo sapiens
11755	Tyrosine-protein kinase FYN	SINGLE PROTEIN	P06241	Homo sapiens	Homo sapiens
81	Myeloid cell surface antigen CD33	SINGLE PROTEIN	P20138	Homo sapiens	Homo sapiens
83	DOPA decarboxylase	SINGLE PROTEIN	P20711	Homo sapiens	Homo sapiens
49	Integrin alpha-IIb	SINGLE PROTEIN	P08514	Homo sapiens	Homo sapiens
12840	Macrophage colony stimulating factor receptor	SINGLE PROTEIN	P07333	Homo sapiens	Homo sapiens
125	Alpha-1a adrenergic receptor	SINGLE PROTEIN	P35348	Homo sapiens	Homo sapiens
9	Epidermal growth factor receptor erbB1	SINGLE PROTEIN	P00533	Homo sapiens	Homo sapiens
126	Cyclooxygenase-2	SINGLE PROTEIN	P35354	Homo sapiens	Homo sapiens
130	Dopamine D3 receptor	SINGLE PROTEIN	P35462	Homo sapiens	Homo sapiens
131	Sodium channel protein type I alpha subunit	SINGLE PROTEIN	P35498	Homo sapiens	Homo sapiens
17045	Cytochrome P450 3A4	SINGLE PROTEIN	P08684	Homo sapiens	Homo sapiens
89	Ryanodine receptor 1	SINGLE PROTEIN	P21817	Homo sapiens	Homo sapiens
11881	GABA receptor beta-3 subunit	SINGLE PROTEIN	P28472	Homo sapiens	Homo sapiens
33	Tubulin beta-2 chain	SINGLE PROTEIN	P68371	Homo sapiens	Homo sapiens
220	Dopamine D5 receptor	SINGLE PROTEIN	P21918	Homo sapiens	Homo sapiens
114	Adenosine A1 receptor	SINGLE PROTEIN	P30542	Homo sapiens	Homo sapiens
10183	Somatostatin receptor 4	SINGLE PROTEIN	P31391	Homo sapiens	Homo sapiens
95	Luteinizing hormone/Choriogonadotropin receptor	SINGLE PROTEIN	P22888	Homo sapiens	Homo sapiens
96	Cyclooxygenase-1	SINGLE PROTEIN	P23219	Homo sapiens	Homo sapiens
118	Gonadotropin-releasing hormone receptor	SINGLE PROTEIN	P30968	Homo sapiens	Homo sapiens
120	Steroid 5-alpha-reductase 2	SINGLE PROTEIN	P31213	Homo sapiens	Homo sapiens
4	Voltage-gated T-type calcium channel alpha-1H subunit	SINGLE PROTEIN	O95180	Homo sapiens	Homo sapiens
55	Arachidonate 5-lipoxygenase	SINGLE PROTEIN	P09917	Homo sapiens	Homo sapiens
59	Thyroid hormone receptor alpha	SINGLE PROTEIN	P10827	Homo sapiens	Homo sapiens
61	Muscarinic acetylcholine receptor M1	SINGLE PROTEIN	P11229	Homo sapiens	Homo sapiens
123	4-hydroxyphenylpyruvate dioxygenase	SINGLE PROTEIN	P32754	Homo sapiens	Homo sapiens
87	Cannabinoid CB1 receptor	SINGLE PROTEIN	P21554	Homo sapiens	Homo sapiens
8	Tyrosine-protein kinase ABL	SINGLE PROTEIN	P00519	Homo sapiens	Homo sapiens
90	Dopamine D4 receptor	SINGLE PROTEIN	P21917	Homo sapiens	Homo sapiens
265	Thrombopoietin receptor	SINGLE PROTEIN	P40238	Homo sapiens	Homo sapiens
137	Kappa opioid receptor	SINGLE PROTEIN	P41145	Homo sapiens	Homo sapiens
