parent_molregno	accession	parent_chembl_id	target_organism	summary
573	P31645	CHEMBL6437	Homo sapiens	5.82
573	P34969	CHEMBL6437	Homo sapiens	7.25
573	P35367	CHEMBL6437	Homo sapiens	8.82
573	P35462	CHEMBL6437	Homo sapiens	5.55
573	P41595	CHEMBL6437	Homo sapiens	8.235
573	P42858	CHEMBL6437	Homo sapiens	4.45
573	P50406	CHEMBL6437	Homo sapiens	7.26
573	P51151	CHEMBL6437	Homo sapiens	4.24
573	P54132	CHEMBL6437	Homo sapiens	4.15
573	Q01453	CHEMBL6437	Homo sapiens	4.07
573	Q16637	CHEMBL6437	Homo sapiens	4.45
605	B2RXH2	CHEMBL11	Homo sapiens	4.4
605	O15245	CHEMBL11	Homo sapiens	4.935
605	O75751	CHEMBL11	Homo sapiens	4.38
605	P00352	CHEMBL11	Homo sapiens	5.25
605	P02545	CHEMBL11	Homo sapiens	5.475
605	P0DMS8	CHEMBL11	Homo sapiens	8.36
605	P10636	CHEMBL11	Homo sapiens	5.475
605	P14416	CHEMBL11	Homo sapiens	6.39
605	P23975	CHEMBL11	Homo sapiens	7.13
605	P28223	CHEMBL11	Homo sapiens	6.66
605	P31645	CHEMBL11	Homo sapiens	8.49
605	P35367	CHEMBL11	Homo sapiens	7.57
605	P42345	CHEMBL11	Homo sapiens	5.055
605	Q01453	CHEMBL11	Homo sapiens	4.12
605	Q01959	CHEMBL11	Homo sapiens	4.59
605	Q12809	CHEMBL11	Homo sapiens	5.47
605	Q16637	CHEMBL11	Homo sapiens	5.3
619	O43570	CHEMBL406	Homo sapiens	6.925
619	P00352	CHEMBL406	Homo sapiens	4.5
619	P00915	CHEMBL406	Homo sapiens	4.645
619	P00918	CHEMBL406	Homo sapiens	6.52
619	P10253	CHEMBL406	Homo sapiens	5.2
619	P22748	CHEMBL406	Homo sapiens	6.67
619	P23280	CHEMBL406	Homo sapiens	6.195
619	P35218	CHEMBL406	Homo sapiens	6.05
619	P43166	CHEMBL406	Homo sapiens	6.52
619	Q16637	CHEMBL406	Homo sapiens	6.05
619	Q16790	CHEMBL406	Homo sapiens	7.44
619	Q8N1Q1	CHEMBL406	Homo sapiens	6.85
619	Q9ULX7	CHEMBL406	Homo sapiens	5.3
619	Q9Y2D0	CHEMBL406	Homo sapiens	6.56
635	P00352	CHEMBL407	Homo sapiens	4.45
635	P16473	CHEMBL407	Homo sapiens	7.5
635	P18507	CHEMBL407	Homo sapiens	9.165
635	P28472	CHEMBL407	Homo sapiens	9.165
635	P34903	CHEMBL407	Homo sapiens	9.165
635	Q16637	CHEMBL407	Homo sapiens	5.9
666	O95342	CHEMBL408	Homo sapiens	4.875
666	P00918	CHEMBL408	Homo sapiens	6.01
666	P0DMS8	CHEMBL408	Homo sapiens	5.405
666	P10636	CHEMBL408	Homo sapiens	4.7
666	P11712	CHEMBL408	Homo sapiens	5.4
666	P19224	CHEMBL408	Homo sapiens	4.7
666	P21397	CHEMBL408	Homo sapiens	4.98
666	P24557	CHEMBL408	Homo sapiens	5.53
666	P27338	CHEMBL408	Homo sapiens	5.35
666	P28482	CHEMBL408	Homo sapiens	5.91
666	P37231	CHEMBL408	Homo sapiens	6.199999999999999
666	P41595	CHEMBL408	Homo sapiens	5.98
666	P46063	CHEMBL408	Homo sapiens	4.425000000000001
666	Q9NUW8	CHEMBL408	Homo sapiens	4.325
691	P10828	CHEMBL6608	Homo sapiens	4.6
691	P42858	CHEMBL6608	Homo sapiens	5.6
691	Q03164	CHEMBL6608	Homo sapiens	4.4
717	P10275	CHEMBL409	Homo sapiens	6.765
721	P0DMS8	CHEMBL12	Homo sapiens	7.92
721	P14867	CHEMBL12	Homo sapiens	7.869999999999999
721	P18505	CHEMBL12	Homo sapiens	7.92
721	P18507	CHEMBL12	Homo sapiens	7.77
721	P28472	CHEMBL12	Homo sapiens	7.734999999999999
721	P31644	CHEMBL12	Homo sapiens	7.77
721	P34903	CHEMBL12	Homo sapiens	7.65
721	P47869	CHEMBL12	Homo sapiens	7.59
721	P47870	CHEMBL12	Homo sapiens	7.46
789	P07550	CHEMBL13	Homo sapiens	5.67
789	P08588	CHEMBL13	Homo sapiens	6.99
789	P25929	CHEMBL13	Homo sapiens	4.74
789	P49146	CHEMBL13	Homo sapiens	4.79
789	Q01453	CHEMBL13	Homo sapiens	4.92
789	Q6W5P4	CHEMBL13	Homo sapiens	7.3
789	Q9NUW8	CHEMBL13	Homo sapiens	6.05
880	P02545	CHEMBL267936	Homo sapiens	4.95
921	P00352	CHEMBL16	Homo sapiens	4.35
921	P02545	CHEMBL16	Homo sapiens	4.65
921	P06280	CHEMBL16	Homo sapiens	5.95
921	P10636	CHEMBL16	Homo sapiens	4.4
921	P10828	CHEMBL16	Homo sapiens	5.45
921	P35499	CHEMBL16	Homo sapiens	4.62
921	P54132	CHEMBL16	Homo sapiens	6.505
921	Q01453	CHEMBL16	Homo sapiens	4.045
921	Q03164	CHEMBL16	Homo sapiens	7.3
921	Q14524	CHEMBL16	Homo sapiens	4.31
921	Q99250	CHEMBL16	Homo sapiens	4.27
923	P08183	CHEMBL413	Homo sapiens	5.9
923	P08684	CHEMBL413	Homo sapiens	5.7
923	P11712	CHEMBL413	Homo sapiens	5.7
923	P33261	CHEMBL413	Homo sapiens	5.4
923	P42345	CHEMBL413	Homo sapiens	9.4
923	P68106	CHEMBL413	Homo sapiens	9.7
923	Q13451	CHEMBL413	Homo sapiens	8.52
923	Q9Y6L6	CHEMBL413	Homo sapiens	5.96
924	P08684	CHEMBL269732	Homo sapiens	6.0
924	P42345	CHEMBL269732	Homo sapiens	9.02
924	P62942	CHEMBL269732	Homo sapiens	8.45
924	P68106	CHEMBL269732	Homo sapiens	9.4
924	Q13451	CHEMBL269732	Homo sapiens	7.1
924	Q15393	CHEMBL269732	Homo sapiens	7.91
924	Q9Y6L6	CHEMBL269732	Homo sapiens	5.43
996	B2RXH2	CHEMBL415	Homo sapiens	4.4
996	O15245	CHEMBL415	Homo sapiens	4.71
996	P02545	CHEMBL415	Homo sapiens	4.9
996	P04637	CHEMBL415	Homo sapiens	4.6
996	P08172	CHEMBL415	Homo sapiens	6.845000000000001
996	P08173	CHEMBL415	Homo sapiens	7.465
996	P08912	CHEMBL415	Homo sapiens	7.35
996	P08913	CHEMBL415	Homo sapiens	6.0649999999999995
996	P10635	CHEMBL415	Homo sapiens	5.4
996	P10636	CHEMBL415	Homo sapiens	4.95
996	P10828	CHEMBL415	Homo sapiens	5.35
996	P11229	CHEMBL415	Homo sapiens	7.35
996	P14416	CHEMBL415	Homo sapiens	6.62
996	P16473	CHEMBL415	Homo sapiens	6.2
996	P18054	CHEMBL415	Homo sapiens	4.6
996	P18089	CHEMBL415	Homo sapiens	7.17
996	P18825	CHEMBL415	Homo sapiens	6.27
996	P20309	CHEMBL415	Homo sapiens	7.105
996	P21728	CHEMBL415	Homo sapiens	6.1
996	P23975	CHEMBL415	Homo sapiens	7.16
996	P25021	CHEMBL415	Homo sapiens	5.695
996	P25100	CHEMBL415	Homo sapiens	6.904999999999999
996	P28223	CHEMBL415	Homo sapiens	7.445
996	P28335	CHEMBL415	Homo sapiens	7.609999999999999
996	P28482	CHEMBL415	Homo sapiens	4.6
996	P31645	CHEMBL415	Homo sapiens	10.06
996	P35367	CHEMBL415	Homo sapiens	7.54
996	P35462	CHEMBL415	Homo sapiens	7.095000000000001
996	P40225	CHEMBL415	Homo sapiens	4.9
996	P41595	CHEMBL415	Homo sapiens	6.720000000000001
996	P42345	CHEMBL415	Homo sapiens	4.705
996	P50406	CHEMBL415	Homo sapiens	6.94
996	Q01453	CHEMBL415	Homo sapiens	4.42
996	Q01959	CHEMBL415	Homo sapiens	5.56
996	Q16637	CHEMBL415	Homo sapiens	4.925000000000001
996	Q6W5P4	CHEMBL415	Homo sapiens	5.2
996	Q99720	CHEMBL415	Homo sapiens	6.055
1085	O43570	CHEMBL17	Homo sapiens	7.275
1085	P00915	CHEMBL17	Homo sapiens	6.925
1085	P00918	CHEMBL17	Homo sapiens	7.735
1085	P02545	CHEMBL17	Homo sapiens	6.45
1085	P22748	CHEMBL17	Homo sapiens	4.82
1085	P23280	CHEMBL17	Homo sapiens	6.984999999999999
1085	P35218	CHEMBL17	Homo sapiens	6.645
1085	P43166	CHEMBL17	Homo sapiens	7.9
1085	Q16790	CHEMBL17	Homo sapiens	7.37
1085	Q8N1Q1	CHEMBL17	Homo sapiens	7.64
1085	Q9ULX7	CHEMBL17	Homo sapiens	6.135
1085	Q9Y2D0	CHEMBL17	Homo sapiens	7.359999999999999
1114	P06241	CHEMBL417	Homo sapiens	5.29
