Drug name	chembl_id	molregno	Original synonyms	value	upper_value	reference	type	assay_id
INDOPROFEN	CHEMBL15870	16599		98.0		PMID22210121	PPB	
ISOTRETINOIN	CHEMBL547	13928		99.9		PMID22210121	PPB	
KETOCONAZOLE	CHEMBL157101	255904		99.0		PMID22210121	PPB	
KETOPROFEN	CHEMBL571	16591		99.2		PMID22210121	PPB	
LABETALOL	CHEMBL429	1785		50.0		PMID22210121	PPB	
LEVONORGESTREL	CHEMBL1389	328164		37.0		PMID22210121	PPB	
LIDOCAINE	CHEMBL79	6723		67.0		PMID22210121	PPB	
LOMEFLOXACIN	CHEMBL561	16278		10.0		PMID22210121	PPB	
LORACARBEF	CHEMBL1013	114480		25.0		PMID22210121	PPB	
LORATADINE	CHEMBL998	110803		97.0		PMID22210121	PPB	
LORAZEPAM	CHEMBL580	16959		91.0		PMID22210121	PPB	
LOVASTATIN	CHEMBL503	9495		95.0		PMID22210121	PPB	
MEFLOQUINE	CHEMBL416956	51162		98.2		PMID22210121	PPB	
MELPHALAN	CHEMBL852	65415		90.0		PMID22210121	PPB	
MEPIVACAINE	CHEMBL1087	147981		84.0		PMID22210121	PPB	
METHICILLIN	CHEMBL575	16716		39.0		PMID22210121	PPB	
METHOHEXITAL	CHEMBL7413	2216		73.0		PMID22210121	PPB	
METHOTREXATE	CHEMBL34259	49931	RU486	46.0		PMID22210121	PPB	
METOCLOPRAMIDE	CHEMBL86	7736		40.0		PMID22210121	PPB	
METOCURINE	CHEMBL1259	239465		35.0		PMID22210121	PPB	
METRONIDAZOLE	CHEMBL137	27912		11.0		PMID22210121	PPB	
MIDAZOLAM	CHEMBL655	27611		95.0		PMID22210121	PPB	
MIFEPRISTONE	CHEMBL1276308	712273		98.0		PMID22210121	PPB	
MEPERIDINE	CHEMBL607	22528		58.0		PMID22210121	PPB	
MORPHINE	CHEMBL70	6005		35.0		PMID22210121	PPB	
MOXISYLYTE	CHEMBL159226	265957		26.0		PMID22210121	PPB	
