Drug name	chembl_id	molregno	Original synonyms	value	upper_value	reference	type	assay_id
PROPAFENONE	CHEMBL631	27112		26.0	241.0	PMID12667944	ETCP unbound (nM)	
CISAPRIDE	CHEMBL1729	557741		2.6	4.9	PMID12667944	ETCP unbound (nM)	
TERODILINE	CHEMBL363295	308699		8.0	12.0	PMID12667944	ETCP unbound (nM)	
SPARFLOXACIN	CHEMBL850	65351		196.0	1766.0	PMID12667944	ETCP unbound (nM)	
IBUTILIDE	CHEMBL533	12608		0.7	140.0	PMID12667944	ETCP unbound (nM)	
THIORIDAZINE	CHEMBL479	5970		208.0	979.0	PMID12667944	ETCP unbound (nM)	
DOXEPIN	CHEMBL1628227	1051118		26.0	129.0	PMID12667944	ETCP unbound (nM)	
TACROLIMUS	CHEMBL269732	924		0.09	0.24	PMID12667944	ETCP unbound (nM)	
MAPROTILINE	CHEMBL21731	27713		6.0	130.0	PMID12667944	ETCP unbound (nM)	
AMANTADINE	CHEMBL660	27647		269.0	739.0	PMID12667944	ETCP unbound (nM)	
COCAINE	CHEMBL370805	333370		16.0	43.0	PMID12667944	ETCP unbound (nM)	
KETANSERIN	CHEMBL51	3683		5.0	18.0	PMID12667944	ETCP unbound (nM)	
MEXILETINE	CHEMBL558	15958		1445.0	4129.0	PMID12667944	ETCP unbound (nM)	
PAPAVERINE	CHEMBL19224	21716		59.0	80.0	PMID12667944	ETCP unbound (nM)	
PERHEXILINE	CHEMBL75880	119288		540.0	2378.0	PMID12667944	ETCP unbound (nM)	
AMLODIPINE	CHEMBL1491	418414		0.34	1.75	PMID12667944	ETCP unbound (nM)	
CLEMASTINE	CHEMBL1626	469763		1.3	4.7	PMID12667944	ETCP unbound (nM)	
ENCAINIDE	CHEMBL315838	139046		213.0		PMID12667944	ETCP unbound (nM)	
QUETIAPINE	CHEMBL716	34234		10.0	33.0	PMID12667944	ETCP unbound (nM)	
		58544		0.019999999999999997			Fu	CHEMBL629701
DIAZEPAM		721		0.019999999999999997			Fu	CHEMBL618310
OXAZEPAM		16506		0.039999999999999994			Fu	CHEMBL618310
RANITIDINE		1153672		0.8499999999999999			Fu	CHEMBL618310
VORICONAZOLE		27308		0.42000000000000004			Fu	CHEMBL618310
ERGOTAMINE		2203		0.019999999999999997			Fu	CHEMBL618310
PENTOXIFYLLINE		27029		1.0			Fu	CHEMBL618310
PINDOLOL		8543		0.58			Fu	CHEMBL618310
TRIMETHOPRIM		1216		0.6300000000000002			Fu	CHEMBL618310
ALPRENOLOL		822		0.23999999999999996			Fu	CHEMBL618310
NIZATIDINE		27604		0.78			Fu	CHEMBL618310
CIMETIDINE		1620		0.8099999999999999			Fu	CHEMBL618310
CLOZAPINE		2261		0.049999999999999996			Fu	CHEMBL618310
CODEINE		6167		0.93			Fu	CHEMBL618310
DRONABINOL		4496		0.029999999999999995			Fu	CHEMBL618310
FLUMAZENIL		635		0.5			Fu	CHEMBL618310
LIDOCAINE		6723		0.29999999999999993			Fu	CHEMBL618310
PREDNISONE		27229		0.25			Fu	CHEMBL618310
DIPHENHYDRAMINE		27629		0.22			Fu	CHEMBL618310
FENTANYL		19915		0.15999999999999998			Fu	CHEMBL618310
GALANTAMINE		27639		0.82			Fu	CHEMBL618310
LABETALOL		1785		0.5			Fu	CHEMBL618310
DILTIAZEM		1278		0.22			Fu	CHEMBL618310
ESTRADIOL		27626		0.014999999999999998			Fu	CHEMBL618310
PAROXETINE		6643		0.049999999999999996			Fu	CHEMBL618310
PREDNISOLONE		27370		0.07499999999999998			Fu	CHEMBL618310
THEOPHYLLINE		381693		0.4599999999999999			Fu	CHEMBL618310
CHLORAMPHENICOL		27340		0.47			Fu	CHEMBL618310
NICOTINE		115		0.95			Fu	CHEMBL618310
BETAMETHASONE		27152		0.3599999999999999			Fu	CHEMBL618310
NORDAZEPAM		11762		0.029999999999999995			Fu	CHEMBL618310
OXYCODONE		27624		0.5499999999999999			Fu	CHEMBL618310
QUINACRINE		2355		0.10300000000000001			Fu	CHEMBL618310
SUMATRIPTAN		27111		0.82			Fu	CHEMBL618310
AZELASTINE		27309		0.17			Fu	CHEMBL618310
BETAXOLOL		1354		0.42000000000000004			Fu	CHEMBL618310
CLOMIPRAMINE		996		0.039999999999999994			Fu	CHEMBL618310
NORTRIPTYLINE		2262		0.11999999999999998			Fu	CHEMBL618310
TIMOLOL		8531		0.8999999999999998			Fu	CHEMBL618310
AMITRIPTYLINOXIDE		26821		0.19999999999999998			Fu	CHEMBL618310
CHLORPHENIRAMINE		10358		0.29999999999999993			Fu	CHEMBL618310
CHLORPROMAZINE		6216		0.029999999999999995			Fu	CHEMBL618310
METRONIDAZOLE		27912		0.8900000000000001			Fu	CHEMBL618310
TESTOSTERONE		364520		0.019999999999999997			Fu	CHEMBL618310
ATOMOXETINE		27342		0.019999999999999997			Fu	CHEMBL618310
DELORAZEPAM		5740		0.049999999999999996			Fu	CHEMBL618310
ITRACONAZOLE		27986		0.02800000000000001			Fu	CHEMBL618310
MEPERIDINE		22528		0.42000000000000004			Fu	CHEMBL618310
NIFEDIPINE		419596		0.039999999999999994			Fu	CHEMBL618310
ALLOPURINOL		395607		0.95			Fu	CHEMBL618310
BISOPROLOL		27417		0.7000000000000002			Fu	CHEMBL618310
COCAINE		333370		0.08999999999999997			Fu	CHEMBL618310
METHADONE		27576		0.11			Fu	CHEMBL618310
MEXILETINE		15958		0.36999999999999994			Fu	CHEMBL618310
NALOXONE		6902		0.54			Fu	CHEMBL618310
SUFENTANIL		27638		0.07			Fu	CHEMBL618310
AMITRIPTYLINE		27072		0.05999999999999999			Fu	CHEMBL618310
CHLORDIAZEPOXIDE		2431		0.039999999999999994			Fu	CHEMBL618310
CLONIDINE		27609		0.7999999999999999			Fu	CHEMBL618310
RIVASTIGMINE		27251		0.5999999999999999			Fu	CHEMBL618310
ALFENTANIL		27190		0.07999999999999999			Fu	CHEMBL618310
CAFFEINE		16485		0.6399999999999999			Fu	CHEMBL618310
DEXAMETHASONE		365281		0.31999999999999995			Fu	CHEMBL618310
HALOPERIDOL		3859		0.07999999999999999			Fu	CHEMBL618310
MAPROTILINE		27713		0.11999999999999998			Fu	CHEMBL618310
MIRTAZAPINE		27610		0.14999999999999997			Fu	CHEMBL618310
NADOLOL		27570		0.7000000000000002			Fu	CHEMBL618310
RISPERIDONE		7714		0.11			Fu	CHEMBL618310
PROPOFOL		11819		0.019999999999999997			Fu	CHEMBL618310
SOTALOL		5528		1.0			Fu	CHEMBL618310
VERAPAMIL		1219		0.09999999999999999			Fu	CHEMBL618310
ACETAMINOPHEN		16450		1.0			Fu	CHEMBL618310
LEVOMEPROMAZINE		583530		0.03400000000000001			Fu	CHEMBL618310
METOCLOPRAMIDE		7736		0.5999999999999999			Fu	CHEMBL618310
PROMETHAZINE		27368		0.07			Fu	CHEMBL618310
PROPAFENONE		27112		0.049999999999999996			Fu	CHEMBL618310
TOLTERODINE		321964		0.03699999999999999			Fu	CHEMBL618310
QUINIDINE		255477		0.12999999999999998			Fu	CHEMBL618310
TRIMIPRAMINE		27385		0.049999999999999996			Fu	CHEMBL618310
OMEPRAZOLE		419601		0.049999999999999996			Fu	CHEMBL618310
AMIODARONE		27185		0.00019999999999999998			Fu	CHEMBL618310
ANTIPYRINE		26820		0.8999999999999998			Fu	CHEMBL618310
ATROPINE		445395		0.82			Fu	CHEMBL618310
LORAZEPAM		16959		0.08999999999999997			Fu	CHEMBL618310
REMOXIPRIDE		27616		0.28			Fu	CHEMBL618310
TEBUFELONE		13173		0.0007000000000000001			Fu	CHEMBL618310
ATENOLOL		1279		0.91			Fu	CHEMBL618310
BUTORPHANOL		45838		0.17999999999999994			Fu	CHEMBL618310
METOPROLOL		789		0.8900000000000001			Fu	CHEMBL618310
PACLITAXEL		8062		0.07			Fu	CHEMBL618310
TERBUTALINE		583322		0.7999999999999999			Fu	CHEMBL618310
FELODIPINE		405365		0.003999999999999999			Fu	CHEMBL618310
FLECAINIDE		27588		0.39			Fu	CHEMBL618310
HYDROCORTISONE		374052		0.08999999999999997			Fu	CHEMBL618310
PROPRANOLOL		1370		0.09999999999999999			Fu	CHEMBL618310
ZIDOVUDINE		27307		0.77			Fu	CHEMBL618310
AMANTADINE		27647		0.32999999999999996			Fu	CHEMBL618310
DOMPERIDONE		364745		0.07999999999999999			Fu	CHEMBL618310
MIDAZOLAM		27611		0.019999999999999997			Fu	CHEMBL618310
TACRINE		9333		0.4499999999999999			Fu	CHEMBL618310
AZITHROMYCIN		12428		0.88			Fu	CHEMBL618310
TRIAZOLAM		27419		0.09999999999999999			Fu	CHEMBL618310
VENLAFAXINE		27278		0.7299999999999999			Fu	CHEMBL618310
PERPHENAZINE		16505		0.07			Fu	CHEMBL618310
DESIPRAMINE		6243		0.14999999999999997			Fu	CHEMBL618310
FLUCONAZOLE		13758		0.8900000000000001			Fu	CHEMBL618310
IMIPRAMINE		605		0.09999999999999999			Fu	CHEMBL618310
MORPHINE		6005		0.61			Fu	CHEMBL618310
COLCHICINE		14440		0.61			Fu	CHEMBL618310
ALPRAZOLAM		27648		0.29			Fu	CHEMBL618310
LORMETAZEPAM		27028		0.11999999999999998			Fu	CHEMBL618310
METHYLPREDNISOLONE		27575		0.22			Fu	CHEMBL618310
NEFAZODONE		26465		0.008999999999999998			Fu	CHEMBL618310
PROCAINAMIDE		27341		0.8400000000000001			Fu	CHEMBL618310
PROMAZINE		16391		0.11			Fu	CHEMBL618310
ACEBUTOLOL		27347		0.7399999999999999			Fu	CHEMBL618310
CITALOPRAM		14367		0.19999999999999998			Fu	CHEMBL618310
BROMAZEPAM		16960		0.39			Fu	CHEMBL618310
NEBIVOLOL		27569		0.019999999999999997			Fu	CHEMBL618310
TOLAMOLOL		27268		0.08999999999999997			Fu	CHEMBL618310
TRAZODONE		26401		0.07			Fu	CHEMBL618310
		341256		0.0019999999999999996			Fu	CHEMBL853030
		345215		0.0009999999999999998			Fu	CHEMBL869600
		345302		0.3599999999999999			Fu	CHEMBL869600
		346551		0.0044			Fu	CHEMBL865112
		346361		0.049999999999999996			Fu	CHEMBL853170
		346349		0.049999999999999996			Fu	CHEMBL853170
		346348		0.049999999999999996			Fu	CHEMBL853170
		347537		0.77			Fu	CHEMBL862648
SARACATINIB		361444		0.08999999999999997			Fu	CHEMBL854961
TOFIMILAST		365916		0.019999999999999997			Fu	CHEMBL908476
		376818		0.044000000000000004			Fu	CHEMBL914088
		361176		0.11			Fu	CHEMBL915709
DIRLOTAPIDE		396822		9.7e-05			Fu	CHEMBL897268
		398427		0.05999999999999999			Fu	CHEMBL899738
		424432		0.6200000000000001			Fu	CHEMBL928580
		395324		0.025999999999999992			Fu	CHEMBL949063
		436926		0.0029000000000000002			Fu	CHEMBL949063
		437009		0.017000000000000005			Fu	CHEMBL949063
		437013		0.011999999999999999			Fu	CHEMBL949063
		437055		0.011000000000000001			Fu	CHEMBL949063
		437216		0.051999999999999984			Fu	CHEMBL949063
		437311		0.022999999999999996			Fu	CHEMBL949063
		437554		0.008699999999999998			Fu	CHEMBL949063
		437592		0.017999999999999995			Fu	CHEMBL949063
		395373		0.11999999999999998			Fu	CHEMBL949063
		437593		0.0026999999999999997			Fu	CHEMBL949063
		437628		0.055			Fu	CHEMBL949063
		437627		0.0015999999999999999			Fu	CHEMBL949063
		437629		0.0007999999999999999			Fu	CHEMBL949063
		427551		0.05999999999999999			Fu	CHEMBL927109
		427303		0.34			Fu	CHEMBL927109
		427440		0.17999999999999994			Fu	CHEMBL927109
		427489		0.009999999999999998			Fu	CHEMBL927109
		427492		0.009999999999999998			Fu	CHEMBL927109
		427491		0.019999999999999997			Fu	CHEMBL927109
		427494		0.029999999999999995			Fu	CHEMBL927109
		427607		0.07			Fu	CHEMBL927109
		451689		0.011999999999999999			Fu	CHEMBL973620
		451761		0.031999999999999994			Fu	CHEMBL973620
		457144		0.17			Fu	CHEMBL964147
		457206		0.4799999999999999			Fu	CHEMBL1015281
		457147		0.11999999999999998			Fu	CHEMBL1015281
		474751		0.007000000000000003			Fu	CHEMBL992237
		473784		0.019999999999999997			Fu	CHEMBL982426
		473876		0.029999999999999995			Fu	CHEMBL982426
GOSOGLIPTIN		460014		0.7999999999999999			Fu	CHEMBL980642
		367114		0.8809999999999999			Fu	CHEMBL968699
BETRIXABAN		459679		0.7999999999999999			Fu	CHEMBL968699
		459253		0.8760000000000001			Fu	CHEMBL968699
		459902		0.634			Fu	CHEMBL968699
		512200		0.06899999999999999			Fu	CHEMBL1004780
		511845		0.009999999999999998			Fu	CHEMBL1004780
		511846		0.044000000000000004			Fu	CHEMBL1004780
		467071		0.009999999999999998			Fu	CHEMBL991043
		453169		0.07999999999999999			Fu	CHEMBL1009268
		458603		0.009999999999999998			Fu	CHEMBL1011624
		561419		0.012999999999999996			Fu	CHEMBL1035546
		566703		0.007999999999999998			Fu	CHEMBL1035546
		564895		0.039999999999999994			Fu	CHEMBL1035546
		557815		0.022000000000000002			Fu	CHEMBL1035546
		561418		0.051			Fu	CHEMBL1035546
		557973		0.019000000000000006			Fu	CHEMBL1032973
		1337032		0.106			Fu	CHEMBL1032973
		557416		0.36499999999999994			Fu	CHEMBL1059008
		668295		0.41			Fu	CHEMBL1058143
		561046		0.21000000000000002			Fu	CHEMBL1060103
		562829		0.07			Fu	CHEMBL1060103
		561056		0.29			Fu	CHEMBL1060103
		564550		0.07999999999999999			Fu	CHEMBL1060103
		568190		0.08999999999999997			Fu	CHEMBL1060103
		561057		0.12999999999999998			Fu	CHEMBL1060103
		555785		0.38000000000000006			Fu	CHEMBL1060103
		555786		0.12999999999999998			Fu	CHEMBL1060103
		564535		0.17999999999999994			Fu	CHEMBL1060103
		561041		0.11			Fu	CHEMBL1060103
		566328		0.19000000000000003			Fu	CHEMBL1060103
		568177		0.039999999999999994			Fu	CHEMBL1060103
		557510		0.19999999999999998			Fu	CHEMBL1060103
		555787		0.07999999999999999			Fu	CHEMBL1060103
		377699		0.34			Fu	CHEMBL1060103
		361188		0.049999999999999996			Fu	CHEMBL1060103
		564536		0.009999999999999998			Fu	CHEMBL1060103
		555788		0.09999999999999999			Fu	CHEMBL1060103
		361209		0.39			Fu	CHEMBL1060103
		557511		0.09999999999999999			Fu	CHEMBL1060103
		555789		0.09999999999999999			Fu	CHEMBL1060103
		390497		0.29			Fu	CHEMBL1060103
		390510		0.19999999999999998			Fu	CHEMBL1060103
		390508		0.31000000000000005			Fu	CHEMBL1060103
		570958		0.009999999999999998			Fu	CHEMBL1046699
BUSULFAN		56644		1.0			Fu	CHEMBL1043580
CIDOFOVIR		48701		1.0			Fu	CHEMBL1043580
FLUCYTOSINE		393942		1.0			Fu	CHEMBL1043580
FOSFOMYCIN		581859		1.0			Fu	CHEMBL1043580
GENTAMICIN		1592408		1.0			Fu	CHEMBL1043580
HYDROXYUREA		4730		1.0			Fu	CHEMBL1043580
IFOSFAMIDE		119640		1.0			Fu	CHEMBL1043580
ISOSORBIDE MONONITRATE		263453		1.0			Fu	CHEMBL1043580
LISINOPRIL		230659		1.0			Fu	CHEMBL1043580
METFORMIN		369464		1.0			Fu	CHEMBL1043580
MIGLITOL		445681		1.0			Fu	CHEMBL1043580
PYRIDOSTIGMINE		157330		1.0			Fu	CHEMBL1043580
AMIODARONE		27185		0.00019999999999999998			Fu	CHEMBL1043580
ATOVAQUONE		378315		0.0009999999999999998			Fu	CHEMBL1043580
TESAGLITAZAR		33827		0.0011			Fu	CHEMBL1043580
ZIPRASIDONE		33664		0.0012			Fu	CHEMBL1043580
PARICALCITOL		674573		0.0015999999999999999			Fu	CHEMBL1043580
ITRACONAZOLE		27986		0.0019999999999999996			Fu	CHEMBL1043580
MONTELUKAST		47447		0.0019999999999999996			Fu	CHEMBL1043580
ROSIGLITAZONE		20027		0.0019999999999999996			Fu	CHEMBL1043580
MELOXICAM		20496		0.0029999999999999996			Fu	CHEMBL1043580
NISOLDIPINE		554892		0.0029999999999999996			Fu	CHEMBL1043580
SURAMIN		29061		0.0029999999999999996			Fu	CHEMBL1043580
FELODIPINE		405365		0.003599999999999999			Fu	CHEMBL1043580
TELMISARTAN		116949		0.003999999999999999			Fu	CHEMBL1043580
AMLODIPINE		418414		0.004999999999999999			Fu	CHEMBL1043580
DICLOFENAC		29890		0.004999999999999999			Fu	CHEMBL1043580
GLIMEPIRIDE		405366		0.004999999999999999			Fu	CHEMBL1043580
CILOMILAST		451253		0.005999999999999999			Fu	CHEMBL1043580
IBUPROFEN		11674		0.005999999999999999			Fu	CHEMBL1043580
SUPROFEN		93117		0.005999999999999999			Fu	CHEMBL1043580
KETOROLAC		5080		0.0068			Fu	CHEMBL1043580
FLUVASTATIN		1450253		0.007899999999999999			Fu	CHEMBL1043580
KETOPROFEN		16591		0.007999999999999998			Fu	CHEMBL1043580
TENOXICAM		112102		0.008500000000000002			Fu	CHEMBL1043580
CERIVASTATIN		403465		0.009999999999999998			Fu	CHEMBL1043580
CHLORAMBUCIL		11002		0.009999999999999998			Fu	CHEMBL1043580
CONIVAPTAN		581850		0.009999999999999998			Fu	CHEMBL1043580
INDOMETHACIN		173		0.009999999999999998			Fu	CHEMBL1043580
LOSARTAN		408842		0.009999999999999998			Fu	CHEMBL1043580
NEFAZODONE		26465		0.009999999999999998			Fu	CHEMBL1043580
NICARDIPINE		407549		0.009999999999999998			Fu	CHEMBL1043580
PRACTOLOL		1380		0.009999999999999998			Fu	CHEMBL1043580
TACROLIMUS		924		0.009999999999999998			Fu	CHEMBL1043580
TAMSULOSIN		61181		0.009999999999999998			Fu	CHEMBL1043580
TORSEMIDE		180329		0.009999999999999998			Fu	CHEMBL1043580
FUROSEMIDE		2046		0.011999999999999999			Fu	CHEMBL1043580
REPAGLINIDE		248669		0.014999999999999998			Fu	CHEMBL1043580
WARFARIN		394165		0.014999999999999998			Fu	CHEMBL1043580
NIMODIPINE		365248		0.015999999999999997			Fu	CHEMBL1043580
EPROSARTAN		54211		0.017000000000000005			Fu	CHEMBL1043580
MIDAZOLAM		27611		0.017000000000000005			Fu	CHEMBL1043580
SULFINPYRAZONE		60232		0.017000000000000005			Fu	CHEMBL1043580
REBOXETINE		14263		0.019000000000000006			Fu	CHEMBL1043580
ATOMOXETINE		27342		0.019999999999999997			Fu	CHEMBL1043580
CARVEDILOL		36662		0.019999999999999997			Fu	CHEMBL1043580
ENTACAPONE		92412		0.019999999999999997			Fu	CHEMBL1043580
GLIPIZIDE		139286		0.019999999999999997			Fu	CHEMBL1043580
SOLIFENACIN		561914		0.019999999999999997			Fu	CHEMBL1043580
TEGASEROD		122247		0.019999999999999997			Fu	CHEMBL1043580
GLYBURIDE		5582		0.021000000000000005			Fu	CHEMBL1043580
LANSOPRAZOLE		5975		0.021000000000000005			Fu	CHEMBL1043580
DIAZEPAM		721		0.022999999999999996			Fu	CHEMBL1043580
DEXLOXIGLUMIDE		560084		0.023999999999999997			Fu	CHEMBL1043580
SAQUINAVIR		17169		0.02800000000000001			Fu	CHEMBL1043580
NATEGLINIDE		46727		0.029			Fu	CHEMBL1043580
CHLORPROPAMIDE		8516		0.029999999999999995			Fu	CHEMBL1043580
EPRISTERIDE		225763		0.029999999999999995			Fu	CHEMBL1043580
BUMETANIDE		139281		0.031000000000000007			Fu	CHEMBL1043580
DICLOXACILLIN		77085		0.033			Fu	CHEMBL1043580
ISOXICAM		78364		0.035			Fu	CHEMBL1043580
MILRINONE		380567		0.035			Fu	CHEMBL1043580
RABEPRAZOLE		222203		0.03699999999999999			Fu	CHEMBL1043580
TOLTERODINE		321964		0.03699999999999999			Fu	CHEMBL1043580
AMPHOTERICIN B		8873		0.039999999999999994			Fu	CHEMBL1043580
OXAZEPAM		16506		0.039999999999999994			Fu	CHEMBL1043580
SILDENAFIL		410802		0.039999999999999994			Fu	CHEMBL1043580
TIAGABINE		122170		0.039999999999999994			Fu	CHEMBL1043580
VALSARTAN		139045		0.039999999999999994			Fu	CHEMBL1043580
LOVASTATIN		9495		0.043			Fu	CHEMBL1043580
NIFEDIPINE		419596		0.044000000000000004			Fu	CHEMBL1043580
METOLAZONE		73548		0.049999999999999996			Fu	CHEMBL1043580
OMEPRAZOLE		419601		0.049999999999999996			Fu	CHEMBL1043580
TOLBUTAMIDE		46726		0.049999999999999996			Fu	CHEMBL1043580
VARDENAFIL		421326		0.049999999999999996			Fu	CHEMBL1043580
CEFTRIAXONE		83724		0.051999999999999984			Fu	CHEMBL1043580
CLOZAPINE		2261		0.055			Fu	CHEMBL1043580
KETANSERIN		3683		0.055			Fu	CHEMBL1043580
BUPIVACAINE		150882		0.05600000000000002			Fu	CHEMBL1043580
CHLORDIAZEPOXIDE		2431		0.05600000000000002			Fu	CHEMBL1043580
CHLORPROMAZINE		6216		0.05600000000000002			Fu	CHEMBL1043580
CLINDAMYCIN		581843		0.05999999999999999			Fu	CHEMBL1043580
DIAZOXIDE		364859		0.05999999999999999			Fu	CHEMBL1043580
PRAZOSIN		97		0.05999999999999999			Fu	CHEMBL1043580
CYCLOSPORINE		72873		0.06800000000000002			Fu	CHEMBL1043580
AMITRIPTYLINE		27072		0.07			Fu	CHEMBL1043580
PAPAVERINE		21716		0.07299999999999998			Fu	CHEMBL1043580
SUFENTANIL		27638		0.07499999999999998			Fu	CHEMBL1043580
SULFISOXAZOLE		2484		0.07899999999999999			Fu	CHEMBL1043580
HALOPERIDOL		3859		0.07999999999999999			Fu	CHEMBL1043580
TERAZOSIN		23093		0.07999999999999999			Fu	CHEMBL1043580
TERODILINE		308699		0.07999999999999999			Fu	CHEMBL1043580
ZOLPIDEM		80965		0.07999999999999999			Fu	CHEMBL1043580
DOMPERIDONE		364745		0.08200000000000002			Fu	CHEMBL1043580
VALPROIC ACID		15217		0.08400000000000002			Fu	CHEMBL1043580
ALFENTANIL		27190		0.086			Fu	CHEMBL1043580
MEBENDAZOLE		29637		0.086			Fu	CHEMBL1043580
LEUCOVORIN		510462		0.087			Fu	CHEMBL1043580
LORAZEPAM		16959		0.08999999999999997			Fu	CHEMBL1043580
VERAPAMIL		1219		0.093			Fu	CHEMBL1043580
FINASTERIDE		33679		0.09500000000000001			Fu	CHEMBL1043580
BIPERIDEN		151063		0.09699999999999998			Fu	CHEMBL1043580
ERYTHROMYCIN		12506		0.09999999999999999			Fu	CHEMBL1043580
RISPERIDONE		7714		0.09999999999999999			Fu	CHEMBL1043580
TRIAZOLAM		27419		0.09999999999999999			Fu	CHEMBL1043580
BROMFENAC		140107		0.11			Fu	CHEMBL1043580
DOXYCYCLINE		371546		0.11999999999999998			Fu	CHEMBL1043580
DROTAVERINE		565387		0.11999999999999998			Fu	CHEMBL1043580
ETOPOSIDE		68607		0.11999999999999998			Fu	CHEMBL1043580
LORMETAZEPAM		27028		0.11999999999999998			Fu	CHEMBL1043580
NORTRIPTYLINE		2262		0.11999999999999998			Fu	CHEMBL1043580
ROSUVASTATIN		418845		0.11999999999999998			Fu	CHEMBL1043580
BUDESONIDE		313314		0.12999999999999998			Fu	CHEMBL1043580
NITRAZEPAM		11745		0.12999999999999998			Fu	CHEMBL1043580
PIRMENOL		86259		0.12999999999999998			Fu	CHEMBL1043580
PROBENECID		77474		0.12999999999999998			Fu	CHEMBL1043580
PROPRANOLOL		1370		0.12999999999999998			Fu	CHEMBL1043580
SELEGILINE		96021		0.12999999999999998			Fu	CHEMBL1043580
NADOLOL		27570		0.14			Fu	CHEMBL1043580
VINBLASTINE		71516		0.14			Fu	CHEMBL1043580
CLONAZEPAM		2465		0.14999999999999997			Fu	CHEMBL1043580
FLUPIRTINE		418485		0.14999999999999997			Fu	CHEMBL1043580
LORCAINIDE		139211		0.14999999999999997			Fu	CHEMBL1043580
MIRTAZAPINE		27610		0.14999999999999997			Fu	CHEMBL1043580
DESIPRAMINE		6243		0.15999999999999998			Fu	CHEMBL1043580
DISOPYRAMIDE		11143		0.15999999999999998			Fu	CHEMBL1043580
REMOXIPRIDE		27616		0.15999999999999998			Fu	CHEMBL1043580
ALPRENOLOL		822		0.17999999999999994			Fu	CHEMBL1043580
CEFAZOLIN		371631		0.17999999999999994			Fu	CHEMBL1043580
DILTIAZEM		1278		0.17999999999999994			Fu	CHEMBL1043580
PROPYLTHIOURACIL		421208		0.17999999999999994			Fu	CHEMBL1043580
BUFURALOL		64396		0.19000000000000003			Fu	CHEMBL1043580
CITALOPRAM		14367		0.19999999999999998			Fu	CHEMBL1043580
RIFAMPIN		365189		0.19999999999999998			Fu	CHEMBL1043580
ZOPICLONE		224263		0.19999999999999998			Fu	CHEMBL1043580
METHADONE		27576		0.21000000000000002			Fu	CHEMBL1043580
TILIDINE		1450195		0.21000000000000002			Fu	CHEMBL1043580
CLARITHROMYCIN		570147		0.22999999999999995			Fu	CHEMBL1043580
SULFAMETHOXAZOLE		2247		0.22999999999999995			Fu	CHEMBL1043580
CHLORTHALIDONE		134333		0.23999999999999996			Fu	CHEMBL1043580
TROVAFLOXACIN		1616		0.23999999999999996			Fu	CHEMBL1043580
DAPSONE		126356		0.25			Fu	CHEMBL1043580
PREDNISOLONE		27370		0.25			Fu	CHEMBL1043580
ENCAINIDE		139046		0.25999999999999995			Fu	CHEMBL1043580
QUINIDINE		255477		0.25999999999999995			Fu	CHEMBL1043580
ONDANSETRON		3183		0.27			Fu	CHEMBL1043580
PREDNISONE		27229		0.27			Fu	CHEMBL1043580
DOXORUBICIN		78759		0.28			Fu	CHEMBL1043580
GUANFACINE		66029		0.28			Fu	CHEMBL1043580
ALPRAZOLAM		27648		0.29			Fu	CHEMBL1043580
RIFABUTIN		397074		0.29			Fu	CHEMBL1043580
QUININE		255947		0.29999999999999993			Fu	CHEMBL1043580
ADINAZOLAM		151412		0.31000000000000005			Fu	CHEMBL1043580
CEFIXIME		430642		0.31000000000000005			Fu	CHEMBL1043580
DEXAMETHASONE		365281		0.31999999999999995			Fu	CHEMBL1043580
NEVIRAPINE		4345		0.31999999999999995			Fu	CHEMBL1043580
QUINAPRILAT		561889		0.31999999999999995			Fu	CHEMBL1043580
AMANTADINE		27647		0.32999999999999996			Fu	CHEMBL1043580
CHLORAMPHENICOL		27340		0.34			Fu	CHEMBL1043580
GRANISETRON		54547		0.3500000000000001			Fu	CHEMBL1043580
PHENCYCLIDINE		5666		0.3500000000000001			Fu	CHEMBL1043580
CEFUROXIME		371655		0.3599999999999999			Fu	CHEMBL1043580
DOFETILIDE		5638		0.3599999999999999			Fu	CHEMBL1043580
METHOTREXATE		49931		0.36999999999999994			Fu	CHEMBL1043580
PANTOPRAZOLE		419598		0.38000000000000006			Fu	CHEMBL1043580
CEFADROXIL		485902		0.39			Fu	CHEMBL1043580
TALINOLOL		255378		0.39			Fu	CHEMBL1043580
AZTREONAM		61680		0.39999999999999997			Fu	CHEMBL1043580
BETAXOLOL		1354		0.39999999999999997			Fu	CHEMBL1043580
BUFLOMEDIL		316539		0.39999999999999997			Fu	CHEMBL1043580
CEFATRIZINE		624270		0.39999999999999997			Fu	CHEMBL1043580
NOMIFENSINE		16225		0.39999999999999997			Fu	CHEMBL1043580
ZALEPLON		421332		0.39999999999999997			Fu	CHEMBL1043580
LETROZOLE		374548		0.41			Fu	CHEMBL1043580
CHLOROQUINE		6579		0.4299999999999999			Fu	CHEMBL1043580
SULFADIAZINE		2131		0.44			Fu	CHEMBL1043580
PENICILLIN V		24806		0.4499999999999999			Fu	CHEMBL1043580
BROMAZEPAM		16960		0.4799999999999999			Fu	CHEMBL1043580
PHENOBARBITAL		2217		0.4899999999999998			Fu	CHEMBL1043580
CIFENLINE		139895		0.5			Fu	CHEMBL1043580
PRAVASTATIN		178796		0.5			Fu	CHEMBL1043580
TRIMETHOPRIM		1216		0.5			Fu	CHEMBL1043580
SITAFLOXACIN		179239		0.51			Fu	CHEMBL1043580
