chembl_id	molregno	parent_molregno	parent_chembl_id
CHEMBL1200384	674335	674335	CHEMBL1200384
CHEMBL1200386	674337	674337	CHEMBL1200386
CHEMBL1200391	674342	674342	CHEMBL1200391
CHEMBL1200398	674349	255508	CHEMBL1295
CHEMBL1200402	674353	418414	CHEMBL1491
CHEMBL1200406	674357	674357	CHEMBL1200406
CHEMBL1200436	674387	674387	CHEMBL1200436
CHEMBL1200448	674399	299299	CHEMBL1350
CHEMBL1200453	674404	674404	CHEMBL1200453
CHEMBL1200455	674406	674406	CHEMBL1200455
CHEMBL1200459	674410	674410	CHEMBL1200459
CHEMBL1200468	674419	674419	CHEMBL1200468
CHEMBL1200472	674423	674423	CHEMBL1200472
CHEMBL1200500	674451	674451	CHEMBL1200500
CHEMBL1200503	674454	7065	CHEMBL493
CHEMBL1200506	674457	12506	CHEMBL532
CHEMBL1200507	674458	674458	CHEMBL1200507
CHEMBL1200510	674461	12506	CHEMBL532
CHEMBL1200527	674478	306485	CHEMBL1360
CHEMBL1200545	674496	674496	CHEMBL1200545
CHEMBL1200555	674506	674506	CHEMBL1200555
CHEMBL1200559	674510	674510	CHEMBL1200559
CHEMBL1200585	674536	674536	CHEMBL1200585
CHEMBL1200600	674551	674551	CHEMBL1200600
CHEMBL1200604	674555	674555	CHEMBL1200604
CHEMBL1200614	674565	674565	CHEMBL1200614
CHEMBL1200617	674568	674568	CHEMBL1200617
CHEMBL1200622	674573	674573	CHEMBL1200622
CHEMBL1200626	674577	675234	CHEMBL1201283
CHEMBL1200629	674580	675170	CHEMBL1201219
CHEMBL1200641	674592	675199	CHEMBL1201248
CHEMBL1200644	674595	675153	CHEMBL1201202
CHEMBL1200659	674610	16847	CHEMBL578
CHEMBL1200660	674611	674611	CHEMBL1200660
CHEMBL1200661	674612	674612	CHEMBL1200661
CHEMBL1200666	674617	674617	CHEMBL1200666
CHEMBL1200675	674626	495109	CHEMBL1655
CHEMBL1200679	674630	674630	CHEMBL1200679
CHEMBL1200680	674631	674631	CHEMBL1200680
CHEMBL1200686	674637	674637	CHEMBL1200686
CHEMBL1200688	674639	674639	CHEMBL1200688
CHEMBL1200689	674640	674640	CHEMBL1200689
CHEMBL1200692	674643	674643	CHEMBL1200692
CHEMBL1200694	674645	674645	CHEMBL1200694
CHEMBL1200709	674660	674660	CHEMBL1200709
CHEMBL1200711	674662	674662	CHEMBL1200711
CHEMBL1200732	674683	674683	CHEMBL1200732
CHEMBL1200733	674684	674684	CHEMBL1200733
CHEMBL1200734	674685	499624	CHEMBL1664
CHEMBL1200735	674686	1788	CHEMBL32
CHEMBL1200747	674698	674698	CHEMBL1200747
CHEMBL1200757	674708	306486	CHEMBL185073
CHEMBL1200775	674726	675150	CHEMBL1201199
CHEMBL1200776	674727	675235	CHEMBL1201284
CHEMBL1200799	674750	674750	CHEMBL1200799
CHEMBL1200800	674751	674751	CHEMBL1200800
CHEMBL1200810	674761	674761	CHEMBL1200810
CHEMBL1200818	674769	28976	CHEMBL679
CHEMBL1200819	674770	150423	CHEMBL1093
CHEMBL1200826	674777	674777	CHEMBL1200826
CHEMBL1200837	674788	675225	CHEMBL1201274
CHEMBL1200845	674796	674796	CHEMBL1200845
CHEMBL1200854	674805	674805	CHEMBL1200854
CHEMBL1200862	674813	674813	CHEMBL1200862
CHEMBL1200865	674816	674816	CHEMBL1200865
CHEMBL1200896	674847	55033	CHEMBL815
CHEMBL1200901	674852	152728	CHEMBL1107
CHEMBL1200921	674872	674872	CHEMBL1200921
CHEMBL1200929	674880	674880	CHEMBL1200929
CHEMBL1200932	674883	674883	CHEMBL1200932
CHEMBL1200935	674886	291960	CHEMBL1346
CHEMBL1200936	674887	1051276	CHEMBL1628385
CHEMBL1200946	674897	674897	CHEMBL1200946
CHEMBL1200963	674914	674914	CHEMBL1200963
CHEMBL1200969	674920	674920	CHEMBL1200969
CHEMBL1200973	674924	674924	CHEMBL1200973
CHEMBL1200979	674930	674930	CHEMBL1200979
CHEMBL1200980	674931	485955	CHEMBL494753
CHEMBL1200989	674940	674940	CHEMBL1200989
CHEMBL1201	209829	209829	CHEMBL1201
CHEMBL1201010	674961	674961	CHEMBL1201010
CHEMBL1201011	674962	454141	CHEMBL1592
CHEMBL1201012	674963	674963	CHEMBL1201012
CHEMBL1201018	674969	29005	CHEMBL680
CHEMBL1201032	674983	79047	CHEMBL905
CHEMBL1201073	675024	675024	CHEMBL1201073
CHEMBL1201075	675026	675026	CHEMBL1201075
CHEMBL1201087	675038	675038	CHEMBL1201087
CHEMBL1201093	675044	624125	CHEMBL1096562
