chembl_id	molregno	parent_molregno	parent_chembl_id	stitch_stereo
CHEMBL1179047	652997	652997	CHEMBL1179047	CID000008612
CHEMBL118	18694	18694	CHEMBL118	CID000002662
CHEMBL1180725	654675	654675	CHEMBL1180725	CID000004934
CHEMBL1182	195651	195651	CHEMBL1182	CID000000247
CHEMBL1182833	656783	656783	CHEMBL1182833	CID005281042
CHEMBL1185	196215	196215	CHEMBL1185	CID000060857
CHEMBL1189432	663382	663382	CHEMBL1189432	CID005281071
CHEMBL1189679	663629	663629	CHEMBL1189679	CID006337614
CHEMBL1192519	666469	666469	CHEMBL1192519	CID005463984
CHEMBL1194	208749	208749	CHEMBL1194	CID000004906
CHEMBL119443	196351	196351	CHEMBL119443	CID000443884
CHEMBL1194666	668616	668616	CHEMBL1194666	CID000007029
CHEMBL1196	209007	209007	CHEMBL1196	CID000004935
CHEMBL1197051	671001	671001	CHEMBL1197051	CID000003783
CHEMBL1199080	673030	673030	CHEMBL1199080	CID000002431
CHEMBL12	721	721	CHEMBL12	CID000003016
CHEMBL1200328	674279	192908	CHEMBL1175	CID000060834
CHEMBL1200330	674281	14406	CHEMBL550	CID000005909
CHEMBL1200331	674282	581859	CHEMBL1757	CID000054331
CHEMBL1200335	674286	674286	CHEMBL1200335	CID000009416
CHEMBL1200343	674294	453579	CHEMBL1581	CID000441313
CHEMBL1200349	674300	16117	CHEMBL560	CID000441277
CHEMBL1200367	674318	675292	CHEMBL1201341	CID000010547
CHEMBL1200370	674321	674321	CHEMBL1200370	CID000007187
CHEMBL1200374	674325	674325	CHEMBL1200374	CID000060198
CHEMBL1200384	674335	674335	CHEMBL1200384	CID000021800
CHEMBL1200386	674337	674337	CHEMBL1200386	CID006714002
CHEMBL1200391	674342	674342	CHEMBL1200391	CID000006503
CHEMBL1200398	674349	255508	CHEMBL1295	CID000047471
CHEMBL1200402	674353	418414	CHEMBL1491	CID000060496
CHEMBL1200406	674357	674357	CHEMBL1200406	CID000010660
CHEMBL1200436	674387	674387	CHEMBL1200436	CID000005878
CHEMBL1200448	674399	299299	CHEMBL1350	CID000060936
CHEMBL1200453	674404	674404	CHEMBL1200453	CID000012620
CHEMBL1200455	674406	674406	CHEMBL1200455	CID000003730
CHEMBL1200459	674410	674410	CHEMBL1200459	CID000024450
CHEMBL1200468	674419	674419	CHEMBL1200468	CID000004004
CHEMBL1200472	674423	674423	CHEMBL1200472	CID000004999
CHEMBL1200500	674451	674451	CHEMBL1200500	CID000021700
CHEMBL1200503	674454	7065	CHEMBL493	CID000031100
CHEMBL1200506	674457	12506	CHEMBL532	CID000071469
CHEMBL1200507	674458	674458	CHEMBL1200507	CID000003724
CHEMBL1200510	674461	12506	CHEMBL532	CID000012559
CHEMBL1200527	674478	306485	CHEMBL1360	CID000047320
CHEMBL1200545	674496	674496	CHEMBL1200545	CID000071414
CHEMBL1200555	674506	674506	CHEMBL1200555	CID000003738
CHEMBL1200559	674510	674510	CHEMBL1200559	CID000000612
CHEMBL1200585	674536	674536	CHEMBL1200585	CID005281034
CHEMBL1200600	674551	674551	CHEMBL1200600	CID000009878
CHEMBL1200604	674555	674555	CHEMBL1200604	CID000005593
CHEMBL1200614	674565	674565	CHEMBL1200614	CID000003741
CHEMBL1200617	674568	674568	CHEMBL1200617	CID005311412
CHEMBL1200622	674573	674573	CHEMBL1200622	CID005281104
CHEMBL1200626	674577	675234	CHEMBL1201283	CID049800003
CHEMBL1200629	674580	675170	CHEMBL1201219	CID000039764
CHEMBL1200641	674592	675199	CHEMBL1201248	CID000062886
CHEMBL1200644	674595	675153	CHEMBL1201202	CID000636380
CHEMBL1200659	674610	16847	CHEMBL578	CID005388961
